mass_A
t;x;y;v;a
1,150000000E0;1,613168451E-1;2,895552173E-1;;
1,160000000E0;1,658293322E-1;2,862347110E-1;5,751574958E-1;
1,170000000E0;1,707274211E-1;2,829398172E-1;5,931869123E-1;2,859788465E0
1,180000000E0;1,754979562E-1;2,793596840E-1;6,263907430E-1;4,664196176E0
1,190000000E0;1,808062664E-1;2,754991840E-1;6,896149992E-1;5,532016590E0
1,200000000E0;1,866919442E-1;2,713022545E-1;7,387683170E-1;4,738394797E0
1,210000000E0;1,928951623E-1;2,670038884E-1;7,801389797E-1;3,993645155E0
1,220000000E0;1,992978700E-1;2,621078341E-1;8,202569806E-1;3,651471158E0
1,230000000E0;2,060442899E-1;2,571942478E-1;8,504982472E-1;4,550699269E0
1,240000000E0;2,132184929E-1;2,523326018E-1;9,013385659E-1;3,595166459E0
1,250000000E0;2,209649432E-1;2,470779941E-1;9,241044106E-1;3,158910112E0
1,260000000E0;2,286726610E-1;2,421957249E-1;9,505997351E-1;3,843130224E0
1,270000000E0;2,368041723E-1;2,365625406E-1;1,010295005E0;5,439045999E0
1,280000000E0;2,455204495E-1;2,310408865E-1;1,056331686E0;4,161538038E0
1,290000000E0;2,545902995E-1;2,251612980E-1;1,090659033E0;2,807545213E0
1,300000000E0;2,639693543E-1;2,194024690E-1;1,104489184E0;2,575979660E0
1,310000000E0;2,735119701E-1;2,137626609E-1;1,131176883E0;3,345236879E0
1,320000000E0;2,834016120E-1;2,078174866E-1;1,170574047E0;3,738473660E0
1,330000000E0;2,937608866E-1;2,020119665E-1;1,199488199E0;3,449139871E0
1,340000000E0;3,043695952E-1;1,961619103E-1;1,225126874E0;6,696400044E0
1,350000000E0;3,153321550E-1;1,903906618E-1;1,311340605E0;5,380727427E0
1,360000000E0;3,278576571E-1;1,844932936E-1;1,353145425E0;2,733223462E0
1,370000000E0;3,395046442E-1;1,782213651E-1;1,339100390E0;2,321915543E0
1,380000000E0;3,518628913E-1;1,726179125E-1;1,362503757E0;4,857660799E0
1,390000000E0;3,643893739E-1;1,671165544E-1;1,382628962E0;3,184343600E0
1,400000000E0;3,773156078E-1;1,618093806E-1;1,417602904E0;3,135971421E0
1,410000000E0;3,905787623E-1;1,562558392E-1;1,434961464E0;3,878252173E0
1,420000000E0;4,039841544E-1;1,512058725E-1;1,470180663E0;4,084090970E0
1,430000000E0;4,181438792E-1;1,460217394E-1;1,500310772E0;3,853045827E0
1,440000000E0;4,322818183E-1;1,412251320E-1;1,514826343E0;3,663862127E0
1,450000000E0;4,469214121E-1;1,365489816E-1;1,546465840E0;3,039525971E0
1,460000000E0;4,618348964E-1;1,321016341E-1;1,521219642E0;2,922123554E0
1,470000000E0;4,761773148E-1;1,281981828E-1;1,552856651E0;4,390132872E0
1,480000000E0;4,918128705E-1;1,239858114E-1;1,569832783E0;4,016397657E0
1,490000000E0;5,067548423E-1;1,210732407E-1;1,585337662E0;1,905648832E0
1,500000000E0;5,227496806E-1;1,170408864E-1;1,629372522E0;2,409089247E0
1,510000000E0;5,384807185E-1;1,136294040E-1;1,609201533E0;4,966066586E0
