mass_A
t;x;y;v;a
6,300000000E0;8,157677141E-1;1,368233134E-1;1,419721560E0;3,653690130E0
6,310000000E0;8,291104354E-1;1,411964944E-1;1,399437426E0;3,080565755E0
6,320000000E0;8,422086772E-1;1,460018489E-1;1,382548527E0;3,601590833E0
6,330000000E0;8,550600260E-1;1,507460976E-1;1,340387521E0;3,674791771E0
6,340000000E0;8,672997040E-1;1,554409091E-1;1,312808636E0;4,199250296E0
6,350000000E0;8,794378691E-1;1,604983984E-1;1,289465215E0;4,585455721E0
6,360000000E0;8,909877598E-1;1,656371942E-1;1,258709581E0;6,259886225E0
6,370000000E0;9,022139150E-1;1,712218146E-1;1,201397756E0;6,870004979E0
6,380000000E0;9,123841559E-1;1,765704856E-1;1,139276832E0;3,279790768E0
6,390000000E0;9,221100150E-1;1,823270335E-1;1,139503166E0;3,087225794E0
6,400000000E0;9,326332423E-1;1,870280897E-1;1,096661878E0;4,037079333E0
6,410000000E0;9,417857627E-1;1,920188785E-1;1,052920960E0;6,770764994E0
6,420000000E0;9,507858247E-1;1,977023940E-1;1,022983309E0;3,020154632E0
6,430000000E0;9,591489287E-1;2,028410043E-1;9,937513201E-1;4,132024248E0
6,440000000E0;9,675856204E-1;2,083223535E-1;9,568419958E-1;2,962088571E0
6,450000000E0;9,752977646E-1;2,131090977E-1;9,207398944E-1;4,104513975E0
6,460000000E0;9,830078891E-1;2,183850773E-1;8,955165372E-1;3,303870245E0
6,470000000E0;9,900562814E-1;2,232563204E-1;8,456684631E-1;3,866392917E0
6,480000000E0;9,969999106E-1;2,278869399E-1;8,224265230E-1;3,231634652E0
6,490000000E0;1,003600686E0;2,325892335E-1;7,844488676E-1;4,697422634E0
6,500000000E0;1,009773969E0;2,369955862E-1;7,287639417E-1;4,297030057E0
6,510000000E0;1,015429766E0;2,411046088E-1;6,944510756E-1;4,008023231E0
6,520000000E0;1,021037420E0;2,451220617E-1;6,563403780E-1;3,560429650E0
6,530000000E0;1,026118218E0;2,487249812E-1;6,154938140E-1;3,833268270E0
6,540000000E0;1,030989217E0;2,523673900E-1;5,858384175E-1;2,968401506E0
6,550000000E0;1,035551584E0;2,556743887E-1;5,523789204E-1;4,172381303E0
6,560000000E0;1,039940672E0;2,588419893E-1;5,101628947E-1;3,501566142E0
6,570000000E0;1,043989392E0;2,614111013E-1;4,826996452E-1;2,947437801E0
6,580000000E0;1,048139392E0;2,639391038E-1;4,695689364E-1;2,093105667E0
6,590000000E0;1,052083352E0;2,661740621E-1;4,396633762E-1;3,018937171E0
6,600000000E0;1,055753459E0;2,683376871E-1;4,102257217E-1;3,325193771E0
6,610000000E0;1,059083302E0;2,704536365E-1;3,737516912E-1;3,843031467E0
6,620000000E0;1,062246093E0;2,720419865E-1;3,328060047E-1;4,135796513E0
6,630000000E0;1,064883248E0;2,737193006E-1;2,913843861E-1;3,536903472E0
