mass_A
t;x;y;v;a
6,500000000E-1;1,012420147E0;1,638858799E-1;1,227125139E0;8,231925349E-1
6,600000000E-1;1,023633768E0;1,687467267E-1;1,248044649E0;1,470635244E0
6,700000000E-1;1,035295953E0;1,738730541E-1;1,221425836E0;4,441546210E0
6,800000000E-1;1,045898139E0;1,787991006E-1;1,158139395E0;4,004214950E0
6,900000000E-1;1,056111420E0;1,840333244E-1;1,171741147E0;7,054024372E-1
7,000000000E-1;1,066697301E0;1,895965890E-1;1,172718263E0;3,242248545E0
7,100000000E-1;1,077052036E0;1,945973130E-1;1,103444741E0;5,260242193E0
7,200000000E-1;1,086378853E0;1,995802088E-1;1,061796316E0;4,412637231E0
7,300000000E-1;1,095669063E0;2,048135202E-1;1,039274385E0;3,727207037E0
7,400000000E-1;1,104499430E0;2,097626032E-1;9,848147273E-1;4,248466479E0
7,500000000E-1;1,112801340E0;2,145309839E-1;9,523606541E-1;2,971360484E0
7,600000000E-1;1,120955879E0;2,193533086E-1;9,321441008E-1;2,384705039E0
7,700000000E-1;1,128854278E0;2,240104475E-1;9,030171453E-1;4,387794804E0
7,800000000E-1;1,136560688E0;2,284453885E-1;8,511119035E-1;5,705919364E0
7,900000000E-1;1,143333462E0;2,329608562E-1;7,924543261E-1;6,444342958E0
8,000000000E-1;1,149725360E0;2,372706336E-1;7,287994290E-1;5,072328641E0
8,100000000E-1;1,155557958E0;2,408994411E-1;6,826599831E-1;4,538068103E0
8,200000000E-1;1,161155497E0;2,447380186E-1;6,473552493E-1;3,219769323E0
8,300000000E-1;1,166333156E0;2,480773686E-1;6,108459065E-1;3,247688340E0
8,400000000E-1;1,171469415E0;2,512860095E-1;5,889830541E-1;2,873234612E0
8,500000000E-1;1,176037779E0;2,547542472E-1;5,648299175E-1;4,076728135E0
8,600000000E-1;1,180499727E0;2,580732474E-1;5,192542519E-1;4,478758736E0
8,700000000E-1;1,184295134E0;2,610523479E-1;4,687334171E-1;4,552074810E0
8,800000000E-1;1,187841695E0;2,639024765E-1;4,327126720E-1;3,574613252E0
8,900000000E-1;1,191143736E0;2,663431659E-1;3,969584936E-1;3,632553384E0
9,000000000E-1;1,194276320E0;2,685528543E-1;3,622662831E-1;4,039108031E0
9,100000000E-1;1,196903274E0;2,707388986E-1;3,162361150E-1;3,987033141E0
9,200000000E-1;1,199243458E0;2,724681644E-1;2,800286173E-1;3,646231088E0
9,300000000E-1;1,201354943E0;2,741372891E-1;2,473363162E-1;3,092029960E0
9,400000000E-1;1,203175313E0;2,754699340E-1;2,151898375E-1;3,409507804E0
9,500000000E-1;1,204840680E0;2,766616313E-1;1,827060111E-1;3,342336042E0
9,600000000E-1;1,206025036E0;2,777572192E-1;1,489600295E-1;3,820628650E0
9,700000000E-1;1,206992520E0;2,787220246E-1;1,173810421E-1;2,881303896E0
9,800000000E-1;1,207485345E0;2,795953758E-1;8,857818418E-2;3,665730432E0
9,900000000E-1;1,208235485E0;2,799843543E-1;5,440928300E-2;3,280162872E0
1,000000000E0;1,208469405E0;2,800598904E-1;2,648164913E-2;2,807510008E0
1,010000000E0;1,208762479E0;2,800371581E-1;1,103336517E-2;2,414385463E0
1,020000000E0;1,208656811E0;2,799433861E-1;2,986667082E-2;2,889694265E0
1,030000000E0;1,208406809E0;2,795572558E-1;5,805273523E-2;3,679818529E0
1,040000000E0;1,208100944E0;2,789240430E-1;9,995988081E-2;3,929479145E0
1,050000000E0;1,207198805E0;2,779642974E-1;1,395462012E-1;3,737251202E0
1,060000000E0;1,206108651E0;2,769695545E-1;1,671290443E-1;3,520386762E0
1,070000000E0;1,204809335E0;2,756269309E-1;2,086947375E-1;3,393627609E0
1,080000000E0;1,202911767E0;2,742860251E-1;2,353722647E-1;2,923908548E0
1,090000000E0;1,201029833E0;2,728206157E-1;2,614435855E-1;3,531395200E0
1,100000000E0;1,198895174E0;2,709381780E-1;3,081461615E-1;4,706515810E0
1,110000000E0;1,196243103E0;2,689387551E-1;3,556216517E-1;4,385406391E0
1,120000000E0;1,193287544E0;2,665631140E-1;3,962929189E-1;3,381053946E0
1,130000000E0;1,190014111E0;2,640378484E-1;4,230295445E-1;3,362066565E0
1,140000000E0;1,186507784E0;2,615018446E-1;4,596054022E-1;3,610298711E0
1,150000000E0;1,182667775E0;2,585127970E-1;4,979842729E-1;4,430146526E0
1,160000000E0;1,178398139E0;2,557200627E-1;5,419821427E-1;4,482285951E0
1,170000000E0;1,173715726E0;2,524006225E-1;5,915148133E-1;4,122905815E0
1,180000000E0;1,168675622E0;2,489799900E-1;6,229407951E-1;3,660612528E0
1,190000000E0;1,163404408E0;2,454078528E-1;6,602337250E-1;4,944535508E0
1,200000000E0;1,157624005E0;2,417532915E-1;7,200809131E-1;4,322632608E0
1,210000000E0;1,151256118E0;2,376731485E-1;7,531557414E-1;3,588211122E0
1,220000000E0;1,144899183E0;2,336925009E-1;7,813083966E-1;3,641491633E0
1,230000000E0;1,138057729E0;2,293077643E-1;8,323710312E-1;4,807445143E0
1,240000000E0;1,130810800E0;2,248237876E-1;8,752441247E-1;3,924418574E0
1,250000000E0;1,123189425E0;2,200690178E-1;9,106158648E-1;3,283333181E0
1,260000000E0;1,115228663E0;2,153958763E-1;9,377302727E-1;2,403487072E0
1,270000000E0;1,107069791E0;2,104829537E-1;9,565487376E-1;3,180853048E0
1,280000000E0;1,098713208E0;2,057401040E-1;9,951671333E-1;3,711010986E0
1,290000000E0;1,089834273E0;2,005290603E-1;1,034685171E0;4,979418799E0
1,300000000E0;1,080656184E0;1,956320260E-1;1,080226496E0;5,595521079E0
1,310000000E0;1,070731464E0;1,904375594E-1;1,139740314E0;3,049007907E0
1,320000000E0;1,060268383E0;1,854368913E-1;1,142962459E0;3,923397535E-1
1,330000000E0;1,050362924E0;1,800612475E-1;1,132799038E0;2,565476342E0
1,340000000E0;1,040199711E0;1,749230020E-1;1,190407604E0;4,588171412E0
1,350000000E0;1,029009718E0;1,695318271E-1;1,218201358E0;4,094925429E0
1,360000000E0;1,018073434E0;1,647233126E-1;1,223493791E0;2,898688653E0
1,370000000E0;1,006500879E0;1,599335468E-1;1,252239917E0;3,291377175E0
1,380000000E0;9,948958618E-1;1,552342617E-1;1,275556954E0;2,021414581E0
1,390000000E0;9,828249981E-1;1,504324474E-1;1,283378512E0;2,339390734E0
1,400000000E0;9,709076767E-1;1,461023867E-1;1,295192132E0;3,058139528E0
1,410000000E0;9,584959699E-1;1,415382105E-1;1,341855399E0;4,355454838E0
1,420000000E0;9,456286757E-1;1,370911453E-1;1,377597744E0;3,284645701E0
1,430000000E0;9,324154932E-1;1,326545765E-1;1,378682096E0;3,231795843E0
1,440000000E0;9,193161838E-1;1,288474508E-1;1,395321275E0;3,959328005E0
1,450000000E0;9,056078560E-1;1,249009209E-1;1,432694154E0;5,331713817E0
1,460000000E0;8,916397243E-1;1,214273021E-1;1,468921710E0;1,594417585E0
1,470000000E0;8,770000923E-1;1,182159938E-1;1,463023375E0;1,027011965E0
1,480000000E0;8,632092145E-1;1,145076872E-1;1,433849849E0;1,826088797E0
1,490000000E0;8,491310050E-1;1,114569901E-1;1,478437847E0;4,905114304E0
1,500000000E0;8,342694770E-1;1,084411413E-1;1,505571818E0;3,358794929E0
1,510000000E0;8,195526688E-1;1,058160129E-1;1,495346209E0;2,900882749E0
1,520000000E0;8,047640175E-1;1,035572933E-1;1,495047090E0;3,006418088E0
1,530000000E0;7,899837351E-1;1,013725368E-1;1,501686257E0;3,272433962E0
1,540000000E0;7,749760695E-1;9,972286986E-2;1,536439834E0;3,350939121E0
1,550000000E0;7,594452634E-1;9,795776116E-2;1,545437909E0;3,240374580E0
1,560000000E0;7,442097427E-1;9,675901033E-2;1,520636964E0;4,118199479E0
1,570000000E0;7,290982461E-1;9,595944900E-2;1,524477995E0;8,162600561E0
1,580000000E0;7,137498089E-1;9,541524716E-2;1,604573703E0;2,588616301E0
1,590000000E0;6,970103758E-1;9,644037144E-2;1,571638174E0;3,803836152E0
1,600000000E0;6,823185145E-1;9,571914430E-2;1,487421841E0;4,994275744E0
1,610000000E0;6,672625617E-1;9,624788238E-2;1,496890237E0;4,609477651E0
1,620000000E0;6,524096670E-1;9,703557618E-2;1,507514386E0;1,995059144E0
1,630000000E0;6,371486725E-1;9,772893678E-2;1,517278446E0;3,568404693E0
1,640000000E0;6,221265898E-1;9,898205694E-2;1,518620805E0;4,324414858E0
1,650000000E0;6,069236312E-1;1,007173380E-1;1,508462557E0;2,348998020E0
1,660000000E0;5,921777681E-1;1,026223585E-1;1,502261243E0;2,264602299E0
1,670000000E0;5,771287299E-1;1,045876597E-1;1,507936121E0;2,740316877E0
1,680000000E0;5,623442197E-1;1,070391362E-1;1,477324494E0;3,564731011E0
1,690000000E0;5,479937903E-1;1,095019616E-1;1,476014177E0;8,047943102E0
1,700000000E0;5,333423758E-1;1,125473293E-1;1,486025990E0;2,893805845E0
1,710000000E0;5,193554556E-1;1,174489786E-1;1,429670859E0;4,145712388E0
1,720000000E0;5,055870628E-1;1,194194544E-1;1,404645070E0;2,003239146E0
1,730000000E0;4,917848810E-1;1,228410588E-1;1,410217226E0;6,130974369E0
1,740000000E0;4,782852200E-1;1,264971963E-1;1,378820673E0;2,829404008E0
1,750000000E0;4,652392833E-1;1,303103171E-1;1,375864464E0;2,418415175E0
1,760000000E0;4,519126684E-1;1,343514774E-1;1,373061904E0;4,510519562E0
1,770000000E0;4,390520247E-1;1,385775467E-1;1,299908933E0;5,465627864E0
1,780000000E0;4,272960876E-1;1,427138481E-1;1,259739884E0;2,285240937E0
1,790000000E0;4,153164950E-1;1,470275444E-1;1,268760383E0;7,282720494E-1
1,800000000E0;4,033674928E-1;1,511591731E-1;1,247522870E0;2,133059434E0
1,810000000E0;3,918374274E-1;1,554690317E-1;1,230316509E0;3,262923135E0
1,820000000E0;3,803659034E-1;1,598997892E-1;1,202688839E0;2,905910568E0
1,830000000E0;3,694733322E-1;1,643251836E-1;1,177402017E0;2,570005371E0
1,840000000E0;3,586237791E-1;1,689435846E-1;1,170247973E0;2,744850244E0
1,850000000E0;3,479770245E-1;1,735826607E-1;1,144839876E0;5,685214405E0
1,860000000E0;3,378102846E-1;1,784862146E-1;1,118029277E0;3,002529901E0
1,870000000E0;3,282933296E-1;1,841915221E-1;1,086246167E0;3,757342108E0
1,880000000E0;3,182916895E-1;1,880254356E-1;1,053261722E0;3,913517504E0
1,890000000E0;3,090376189E-1;1,927332845E-1;1,011121944E0;5,689010590E0
1,900000000E0;3,003113269E-1;1,972803582E-1;9,816443316E-1;2,989267737E0
1,910000000E0;2,918015777E-1;2,021337698E-1;9,637200544E-1;2,548876055E0
1,920000000E0;2,834854601E-1;2,066820998E-1;9,306286377E-1;5,058349523E0
1,930000000E0;2,755284056E-1;2,111676911E-1;8,668197839E-1;5,623328168E0
1,940000000E0;2,684364224E-1;2,152889041E-1;8,126734825E-1;5,532038644E0
1,950000000E0;2,615962857E-1;2,195385519E-1;7,673823575E-1;3,420637932E0
1,960000000E0;2,553140386E-1;2,232483838E-1;7,371947132E-1;4,215178667E0
