mass_A
t;x;y;v;a
2,280000000E0;8,614547062E-2;4,942062604E-1;;
2,290000000E0;8,937473078E-2;4,919163055E-1;4,194808908E-1;
2,300000000E0;9,296417225E-2;4,893184189E-1;4,656793103E-1;4,374346421E0
2,310000000E0;9,702493628E-2;4,866043149E-1;5,065307328E-1;4,283234095E0
2,320000000E0;1,011199069E-1;4,833089809E-1;5,497005233E-1;4,356292460E0
2,330000000E0;1,059406228E-1;4,801716794E-1;5,951228953E-1;4,016861405E0
2,340000000E0;1,109342423E-1;4,765749386E-1;6,267593001E-1;3,872366685E0
2,350000000E0;1,162854258E-1;4,730924182E-1;6,686391280E-1;4,562489619E0
2,360000000E0;1,220224726E-1;4,690994813E-1;7,217680701E-1;5,247492373E0
2,370000000E0;1,281105273E-1;4,648131288E-1;7,693979330E-1;4,665640862E0
2,380000000E0;1,345101135E-1;4,601079243E-1;8,150999185E-1;3,555948727E0
2,390000000E0;1,412796108E-1;4,552042583E-1;8,408139402E-1;2,334312686E0
2,400000000E0;1,483209548E-1;4,505137648E-1;8,497264979E-1;3,485849180E0
2,410000000E0;1,554003256E-1;4,457480719E-1;9,022981789E-1;4,454061965E0
2,420000000E0;1,632800106E-1;4,404200316E-1;9,512473920E-1;4,377799196E0
2,430000000E0;1,713353083E-1;4,353545660E-1;9,780003955E-1;4,107161581E0
2,440000000E0;1,797234089E-1;4,298271774E-1;1,035715684E0;4,735044310E0
2,450000000E0;1,887380879E-1;4,241195291E-1;1,075792365E0;2,449163347E0
2,460000000E0;1,979844031E-1;4,184487867E-1;1,072326952E0;8,216999059E-1
2,470000000E0;2,071024766E-1;4,130423785E-1;1,068149535E0;3,732066484E0
2,480000000E0;2,163055871E-1;4,074619041E-1;1,139100809E0;5,962052748E0
2,490000000E0;2,267739423E-1;4,015509166E-1;1,203299964E0;5,076662436E0
2,500000000E0;2,371651655E-1;3,954598079E-1;1,225152698E0;4,991073508E0
2,510000000E0;2,481307623E-1;3,895390103E-1;1,240407088E0;2,320984732E0
2,520000000E0;2,595530655E-1;3,847721594E-1;1,261042170E0;3,021435985E0
2,530000000E0;2,704988603E-1;3,778874380E-1;1,299899008E0;5,114716462E0
2,540000000E0;2,822730804E-1;3,721350754E-1;1,354983998E0;7,544903985E0
2,550000000E0;2,950044102E-1;3,663171884E-1;1,384519497E0;3,406325077E0
2,560000000E0;3,076238961E-1;3,609953339E-1;1,386809496E0;1,712217415E0
2,570000000E0;3,205393507E-1;3,554883822E-1;1,403897383E0;3,631491799E0
2,580000000E0;3,335405421E-1;3,501926211E-1;1,444896820E0;4,511174302E0
2,590000000E0;3,473877225E-1;3,447993381E-1;1,483268328E0;4,592399377E0
2,600000000E0;3,613600236E-1;3,398916297E-1;1,483649647E0;3,133604312E0
2,610000000E0;3,755286213E-1;3,353878387E-1;1,499458216E0;3,080469662E0
2,620000000E0;3,899036432E-1;3,306931648E-1;1,532073044E0;4,049026172E0
2,630000000E0;4,047803505E-1;3,262644913E-1;1,569564279E0;4,105492381E0
2,640000000E0;4,200663296E-1;3,219968922E-1;1,579446369E0;8,152894041E0
2,650000000E0;4,353149759E-1;3,181714708E-1;1,560597006E0;1,353758899E0
2,660000000E0;4,507580655E-1;3,163221626E-1;1,550326475E0;3,649849508E0
2,670000000E0;4,654788864E-1;3,109920991E-1;1,608612648E0;2,964500304E0
2,680000000E0;4,817922539E-1;3,078408296E-1;1,619148023E0;9,847215236E0
2,690000000E0;4,973687980E-1;3,053627417E-1;1,570148581E0;3,699436418E0
