mass_A
t;x;y;v;a
0,000000000E0;1,789251124E-1;2,863416217E-1;;
1,000000000E-2;1,833025648E-1;2,830594175E-1;5,620893145E-1;
2,000000000E-2;1,879641855E-1;2,796578416E-1;5,822599570E-1;2,185651415E0
3,000000000E-2;1,926984437E-1;2,761798738E-1;6,020111589E-1;3,128717959E0
4,000000000E-2;1,977411172E-1;2,726308522E-1;6,442828395E-1;4,651250514E0
5,000000000E-2;2,031471142E-1;2,686389563E-1;6,970263210E-1;5,728202802E0
6,000000000E-2;2,090883096E-1;2,645327350E-1;7,569099350E-1;4,499975527E0
7,000000000E-2;2,155665122E-1;2,599831136E-1;7,922287099E-1;2,857390170E0
8,000000000E-2;2,221147355E-1;2,555126042E-1;8,072086716E-1;3,242884231E0
9,000000000E-2;2,288285300E-1;2,507769623E-1;8,560415931E-1;5,710469901E0
1,000000000E-1;2,361087546E-1;2,456490190E-1;9,229684316E-1;5,324360328E0
1,100000000E-1;2,441909409E-1;2,405424804E-1;9,585911053E-1;3,769445952E0
1,200000000E-1;2,523313805E-1;2,354321128E-1;9,867008525E-1;3,817871119E0
1,300000000E-1;2,608612639E-1;2,299816205E-1;1,037863286E0;4,011743494E0
1,400000000E-1;2,699436469E-1;2,244470251E-1;1,069283780E0;2,267495481E0
1,500000000E-1;2,790756223E-1;2,187751819E-1;1,070881530E0;1,850876245E0
1,600000000E-1;2,883641554E-1;2,135200050E-1;1,088890574E0;3,925766576E0
1,700000000E-1;2,979856700E-1;2,079731834E-1;1,144982608E0;5,295356948E0
1,800000000E-1;3,083148160E-1;2,022787769E-1;1,198117269E0;4,421923256E0
1,900000000E-1;3,189631414E-1;1,963913144E-1;1,220917292E0;4,962493409E0
2,000000000E-1;3,299716587E-1;1,909988488E-1;1,244271705E0;2,858878284E0
2,100000000E-1;3,415768867E-1;1,860036606E-1;1,279668686E0;3,645655002E0
2,200000000E-1;3,528061208E-1;1,794399509E-1;1,312791001E0;3,444875506E0
2,300000000E-1;3,648783982E-1;1,739037578E-1;1,341682766E0;5,974310680E0
2,400000000E-1;3,772677238E-1;1,684093101E-1;1,356372416E0;3,032841869E0
2,500000000E-1;3,898393206E-1;1,632806318E-1;1,348868021E0;1,410814537E0
2,600000000E-1;4,023515683E-1;1,584806282E-1;1,362797426E0;1,525734708E0
2,700000000E-1;4,151416590E-1;1,531475967E-1;1,385597715E0;3,470204656E0
2,800000000E-1;4,281073991E-1;1,482537231E-1;1,415398154E0;4,456076556E0
2,900000000E-1;4,417301639E-1;1,434320328E-1;1,448108480E0;3,942529400E0
3,000000000E-1;4,555140719E-1;1,388898801E-1;1,467807145E0;3,448054102E0
3,100000000E-1;4,696645259E-1;1,344068155E-1;1,505016217E0;3,954524900E0
3,200000000E-1;4,842505957E-1;1,299321057E-1;1,540244456E0;3,533538879E0
3,300000000E-1;4,991839598E-1;1,256008963E-1;1,546071749E0;6,788502530E0
3,400000000E-1;5,140979444E-1;1,218530637E-1;1,531242374E0;7,651225400E-1
3,500000000E-1;5,291771338E-1;1,194129408E-1;1,542593653E0;3,831089725E0
3,600000000E-1;5,441053719E-1;1,146842170E-1;1,605613101E0;3,283177588E0
3,700000000E-1;5,602945859E-1;1,114818910E-1;1,605431419E0;7,100750896E0
3,800000000E-1;5,756932849E-1;1,089250702E-1;1,584997220E0;1,996417251E0
3,900000000E-1;5,915676380E-1;1,062970392E-1;1,615700372E0;3,079666491E0
4,000000000E-1;6,076021428E-1;1,038241033E-1;1,620518892E0;4,153254876E0
4,100000000E-1;6,236851318E-1;1,019497199E-1;1,617793166E0;4,020087588E0
4,200000000E-1;6,397821148E-1;1,004549352E-1;1,608960090E0;3,000942092E0
4,300000000E-1;6,557464485E-1;9,919781168E-2;1,593564734E0;2,866892871E0
4,400000000E-1;6,715738500E-1;9,820438034E-2;1,604057843E0;4,871539108E0
4,500000000E-1;6,877867892E-1;9,758003759E-2;1,555828640E0;4,385088137E0
4,600000000E-1;7,026846015E-1;9,760251227E-2;1,614439729E0;4,385575402E0
4,700000000E-1;7,200755360E-1;9,752453108E-2;1,679803936E0;3,911411426E0
4,800000000E-1;7,362797077E-1;9,785812913E-2;1,615320439E0;6,888701943E0
4,900000000E-1;7,523520364E-1;9,891434101E-2;1,592387388E0;4,077048528E0
5,000000000E-1;7,680469702E-1;1,001208873E-1;1,571171939E0;3,038726326E0
5,100000000E-1;7,836625469E-1;1,015760016E-1;1,586858064E0;3,856318728E0
5,200000000E-1;7,995976098E-1;1,035566613E-1;1,585532256E0;3,964886815E0
5,300000000E-1;8,150839450E-1;1,058492620E-1;1,543540823E0;4,821429342E0
5,400000000E-1;8,301065126E-1;1,082698518E-1;1,519118909E0;3,057062120E0
5,500000000E-1;8,449789961E-1;1,112691166E-1;1,521111439E0;2,923789372E0
5,600000000E-1;8,599519061E-1;1,141659938E-1;1,510426838E0;5,727339933E0
5,700000000E-1;8,745213091E-1;1,175784299E-1;1,437107745E0;3,241104848E0
5,800000000E-1;8,878114803E-1;1,212339207E-1;1,424627866E0;2,339966721E0
5,900000000E-1;9,022908532E-1;1,239563796E-1;1,461230036E0;3,025024615E0
6,000000000E-1;9,164538767E-1;1,270382653E-1;1,471537643E0;4,825146455E0
6,100000000E-1;9,308954220E-1;1,308808191E-1;1,465483784E0;3,983987667E0
6,200000000E-1;9,447095176E-1;1,348277357E-1;1,432492721E0;3,634836626E0
6,300000000E-1;9,583735449E-1;1,389904996E-1;1,409190663E0;2,564393990E0
6,400000000E-1;9,716634792E-1;1,430624964E-1;1,400541723E0;2,979414675E0
6,500000000E-1;9,850071134E-1;1,476657447E-1;1,386189163E0;3,607481694E0
6,600000000E-1;9,978322056E-1;1,522170536E-1;1,345605971E0;4,504041314E0
6,700000000E-1;1,010276104E0;1,569253498E-1;1,305995901E0;3,141181750E0
6,800000000E-1;1,022235891E0;1,615288889E-1;1,305037877E0;2,434777636E0
6,900000000E-1;1,034434252E0;1,668063125E-1;1,305502173E0;4,758659737E0
7,000000000E-1;1,046223438E0;1,718406274E-1;1,224222151E0;8,750768903E0
7,100000000E-1;1,056751654E0;1,768771371E-1;1,137002513E0;6,148334083E0
7,200000000E-1;1,066518218E0;1,820988824E-1;1,173585562E0;1,324376200E0
7,300000000E-1;1,077129664E0;1,885243654E-1;1,146943898E0;4,405019247E0
7,400000000E-1;1,086881382E0;1,926598327E-1;1,057229048E0;6,697005018E0
7,500000000E-1;1,096123461E0;1,978157050E-1;1,031816497E0;5,630895749E0
7,600000000E-1;1,104798512E0;2,028987074E-1;9,764481489E-1;4,491886072E0
7,700000000E-1;1,112966192E0;2,077001785E-1;9,530315858E-1;3,590072570E0
7,800000000E-1;1,120893802E0;2,131089634E-1;9,252680312E-1;3,030392669E0
7,900000000E-1;1,128432665E0;2,178607188E-1;8,862160010E-1;2,750773305E0
8,000000000E-1;1,135759113E0;2,227616334E-1;8,754495506E-1;2,334449751E0
8,100000000E-1;1,142914846E0;2,277010032E-1;8,507149043E-1;4,841528308E0
8,200000000E-1;1,149723443E0;2,324819123E-1;7,833488965E-1;5,831149156E0
8,300000000E-1;1,155656346E0;2,368173825E-1;7,245807148E-1;4,646153889E0
8,400000000E-1;1,161508672E0;2,409149000E-1;6,969500604E-1;3,472513135E0
8,500000000E-1;1,167029703E0;2,448760748E-1;6,564027337E-1;3,623205702E0
8,600000000E-1;1,172021049E0;2,487784704E-1;6,227863978E-1;2,875807416E0
8,700000000E-1;1,177006554E0;2,523331253E-1;6,008711342E-1;2,871027846E0
8,800000000E-1;1,181686653E0;2,559195172E-1;5,669912886E-1;4,078749707E0
8,900000000E-1;1,186001902E0;2,592378596E-1;5,202219920E-1;3,378252460E0
9,000000000E-1;1,190240157E0;2,618431928E-1;5,007576714E-1;2,645140358E0
9,100000000E-1;1,194348091E0;2,647736003E-1;4,813499586E-1;3,634666912E0
9,200000000E-1;1,198299251E0;2,671091320E-1;4,304523351E-1;4,331811113E0
