mass_A
t;x;y;v;a
1,490000000E0;1,732476898E-1;2,834470401E-1;;
1,500000000E0;1,779472907E-1;2,800232511E-1;5,937736700E-1;
1,510000000E0;1,828593615E-1;2,764726128E-1;6,281845507E-1;4,408675483E0
1,520000000E0;1,882012331E-1;2,727635681E-1;6,819553294E-1;4,669946503E0
1,530000000E0;1,939355594E-1;2,685137769E-1;7,254511662E-1;4,701663825E0
1,540000000E0;1,998853641E-1;2,641616590E-1;7,700344943E-1;4,347056437E0
1,550000000E0;2,064148178E-1;2,594888472E-1;8,170064053E-1;3,821836378E0
1,560000000E0;2,132184584E-1;2,547155813E-1;8,415742207E-1;2,411058061E0
1,570000000E0;2,202898214E-1;2,499608283E-1;8,624206176E-1;3,831488324E0
1,580000000E0;2,274926701E-1;2,450328849E-1;9,123361467E-1;4,906661415E0
1,590000000E0;2,354722808E-1;2,398397698E-1;9,674638549E-1;3,527991837E0
1,600000000E0;2,436919868E-1;2,344509824E-1;9,816209811E-1;3,010258966E0
1,610000000E0;2,518502208E-1;2,290141067E-1;1,018794821E0;4,276787020E0
1,620000000E0;2,608266435E-1;2,234246188E-1;1,071248587E0;3,896732118E0
1,630000000E0;2,700986134E-1;2,177879951E-1;1,089586567E0;3,309315433E0
1,640000000E0;2,794451183E-1;2,121006641E-1;1,129435770E0;4,379496669E0
1,650000000E0;2,894965736E-1;2,062134886E-1;1,178558964E0;3,899160846E0
1,660000000E0;2,999306874E-1;2,004412492E-1;1,196691229E0;2,953330100E0
1,670000000E0;3,104496531E-1;1,946464483E-1;1,220170900E0;5,413566039E0
1,680000000E0;3,214720991E-1;1,889741488E-1;1,287017717E0;4,676005418E0
1,690000000E0;3,335441371E-1;1,832793622E-1;1,325481266E0;3,505348717E0
1,700000000E0;3,449964163E-1;1,767525804E-1;1,343754358E0;3,232358766E0
1,710000000E0;3,573762388E-1;1,708575571E-1;1,382968723E0;5,424902464E0
1,720000000E0;3,700852416E-1;1,651081895E-1;1,382023140E0;3,199043716E0
1,730000000E0;3,827261620E-1;1,598404533E-1;1,388552720E0;3,689962264E0
1,740000000E0;3,957962757E-1;1,546118002E-1;1,441540449E0;3,832193563E0
1,750000000E0;4,095274722E-1;1,492147618E-1;1,465960912E0;3,221790990E0
1,760000000E0;4,231758454E-1;1,441248693E-1;1,468374260E0;3,310779692E0
1,770000000E0;4,372054214E-1;1,393974144E-1;1,497523062E0;4,324373339E0
1,780000000E0;4,515794924E-1;1,346241868E-1;1,523100245E0;3,261477296E0
1,790000000E0;4,663097389E-1;1,304045035E-1;1,530340861E0;2,825572427E0
1,800000000E0;4,809975984E-1;1,261771577E-1;1,532047537E0;4,028475004E0
1,810000000E0;4,958545836E-1;1,222823108E-1;1,521939405E0;4,306251461E0
