mass_A
t;x;y;v;a
0,000000000E0;1,864874133E-1;2,815570080E-1;;
1,000000000E-2;1,910894454E-1;2,781398808E-1;5,808601595E-1;
2,000000000E-2;1,957990401E-1;2,746105689E-1;6,248656053E-1;4,859545219E0
3,000000000E-2;2,013602713E-1;2,710199829E-1;6,835686977E-1;4,763818696E0
4,000000000E-2;2,070168777E-1;2,667960576E-1;7,193065393E-1;3,477251139E0
5,000000000E-2;2,130130083E-1;2,625834860E-1;7,512130944E-1;3,053202839E0
6,000000000E-2;2,194297525E-1;2,583314853E-1;7,801276549E-1;3,178228163E0
7,000000000E-2;2,258778977E-1;2,537554463E-1;8,120666573E-1;4,525618623E0
8,000000000E-2;2,327643420E-1;2,490595047E-1;8,698299309E-1;4,395690325E0
9,000000000E-2;2,403398621E-1;2,440862567E-1;9,062043753E-1;3,691901283E0
1,000000000E-1;2,478336615E-1;2,389898394E-1;9,344578833E-1;3,226677889E0
1,100000000E-1;2,558274059E-1;2,336258265E-1;9,759050226E-1;4,273559766E0
1,200000000E-1;2,641905356E-1;2,283404773E-1;1,012793735E0;4,205459885E0
1,300000000E-1;2,729328079E-1;2,227766014E-1;1,058616894E0;3,851186323E0
1,400000000E-1;2,821430920E-1;2,171166806E-1;1,089076772E0;3,819697644E0
1,500000000E-1;2,915633066E-1;2,114921076E-1;1,125858923E0;3,772611642E0
1,600000000E-1;3,015063968E-1;2,056238241E-1;1,164869098E0;4,046266200E0
1,700000000E-1;3,117591531E-1;1,998776428E-1;1,195708158E0;4,597014515E0
1,800000000E-1;3,224336610E-1;1,940507167E-1;1,208201893E0;5,623060869E0
1,900000000E-1;3,334392005E-1;1,892063602E-1;1,279320878E0;3,268007667E0
2,000000000E-1;3,454945107E-1;1,829664047E-1;1,298614602E0;2,766147419E0
2,100000000E-1;3,563178253E-1;1,769129277E-1;1,291725819E0;3,990242127E0
2,200000000E-1;3,684795396E-1;1,711718854E-1;1,358266067E0;6,274404891E0
2,300000000E-1;3,810067132E-1;1,655809599E-1;1,371004800E0;2,969894680E0
2,400000000E-1;3,936627726E-1;1,603244692E-1;1,386240080E0;3,138742197E0
2,500000000E-1;4,066280844E-1;1,549880395E-1;1,407651246E0;4,055104774E0
2,600000000E-1;4,198877199E-1;1,500850868E-1;1,450691270E0;4,551285551E0
2,700000000E-1;4,338009210E-1;1,448175421E-1;1,491767568E0;3,070966960E0
2,800000000E-1;4,479847816E-1;1,400499828E-1;1,483754545E0;3,150928357E0
2,900000000E-1;4,619828645E-1;1,355229696E-1;1,502219391E0;3,096582058E0
3,000000000E-1;4,766414006E-1;1,310242733E-1;1,506079498E0;4,316029252E0
3,100000000E-1;4,909405274E-1;1,272305670E-1;1,548678597E0;5,519442000E0
3,200000000E-1;5,065285015E-1;1,228926464E-1;1,543097368E0;2,541659291E0
3,300000000E-1;5,210653635E-1;1,205257890E-1;1,550589376E0;1,243983655E0
3,400000000E-1;5,367545825E-1;1,159561491E-1;1,603589722E0;3,210992536E0
3,500000000E-1;5,521016196E-1;1,124418046E-1;1,592672068E0;6,321169019E0
3,600000000E-1;5,679181627E-1;1,093627437E-1;1,615333917E0;4,375886319E0
3,700000000E-1;5,838983779E-1;1,067244948E-1;1,613759317E0;3,382403601E0
3,800000000E-1;5,998063850E-1;1,043798799E-1;1,614174103E0;3,386157206E0
3,900000000E-1;6,158795945E-1;1,023171152E-1;1,632821523E0;4,194663746E0
4,000000000E-1;6,322463745E-1;1,006262775E-1;1,641574474E0;3,677142252E0
4,100000000E-1;6,485852519E-1;9,944541261E-2;1,623329018E0;2,641359189E0
4,200000000E-1;6,646375075E-1;9,841418782E-2;1,619040660E0;1,406794381E0
4,300000000E-1;6,809100717E-1;9,754197081E-2;1,624845079E0;1,042060692E2
4,400000000E-1;6,970928813E-1;9,677183472E-2;2,099046615E0;4,855727668E1
4,500000000E-1;7,057400289E-1;1,313927005E-1;1,658542233E0;9,865344232E1
4,600000000E-1;7,302619797E-1;9,643146930E-2;2,673040546E0;4,728820673E1
4,700000000E-1;7,465657125E-1;9,687716973E-2;1,630703084E0;1,068413690E2
4,800000000E-1;7,628541948E-1;9,762500700E-2;1,613572649E0;5,409563209E0
4,900000000E-1;7,787735538E-1;9,890242070E-2;1,585670630E0;4,469879997E0
5,000000000E-1;7,944108165E-1;1,007746366E-1;1,565738064E0;2,475038850E0
5,100000000E-1;8,098851126E-1;1,024640467E-1;1,580602813E0;3,040334883E0
5,200000000E-1;8,257791494E-1;1,046925174E-1;1,581422749E0;4,323412928E0
5,300000000E-1;8,411328401E-1;1,073567649E-1;1,546047171E0;3,595234379E0
5,400000000E-1;8,562082705E-1;1,101855429E-1;1,559532313E0;5,157163154E0
5,500000000E-1;8,717173834E-1;1,134757618E-1;1,511650200E0;2,184723655E0
5,600000000E-1;8,856118343E-1;1,172186766E-1;1,527887091E0;6,629827816E-1
5,700000000E-1;9,014369799E-1;1,205835863E-1;1,544989788E0;1,986825402E0
5,800000000E-1;9,157503076E-1;1,240355530E-1;1,457701710E0;5,856473120E0
5,900000000E-1;9,297055930E-1;1,277140299E-1;1,467251259E0;3,348273883E0
6,000000000E-1;9,439767701E-1;1,320603469E-1;1,454054407E0;3,238173890E0
6,100000000E-1;9,575265944E-1;1,361817079E-1;1,406567468E0;4,604688784E0
6,200000000E-1;9,708226607E-1;1,404669501E-1;1,384434166E0;3,503747593E0
6,300000000E-1;9,836915548E-1;1,452402967E-1;1,365237757E0;3,634909881E0
6,400000000E-1;9,964668301E-1;1,498438489E-1;1,362275434E0;3,078579667E0
6,500000000E-1;1,009040620E0;1,552274212E-1;1,329482697E0;4,391772976E0
6,600000000E-1;1,021022930E0;1,600422642E-1;1,287844500E0;4,360478460E0
6,700000000E-1;1,032663484E0;1,654927836E-1;1,256368820E0;3,204652035E0
6,800000000E-1;1,043884574E0;1,704696452E-1;1,235954430E0;3,497642316E0
6,900000000E-1;1,055050435E0;1,759740891E-1;1,210047491E0;6,394801569E0
7,000000000E-1;1,065507432E0;1,813387737E-1;1,187713709E0;3,107269818E0
7,100000000E-1;1,075534617E0;1,880017161E-1;1,162539044E0;3,982375716E0
7,200000000E-1;1,086096084E0;1,921418393E-1;1,111656254E0;4,645570474E0
7,300000000E-1;1,095614754E0;1,975463466E-1;1,073540902E0;5,790153097E0
7,400000000E-1;1,104746856E0;2,027787914E-1;1,051598405E0;2,680490071E0
7,500000000E-1;1,113802067E0;2,081087957E-1;1,029731029E0;2,722001082E0
7,600000000E-1;1,122429896E0;2,133357081E-1;9,976317190E-1;3,724968901E0
7,700000000E-1;1,130829359E0;2,185097059E-1;9,599551752E-1;4,715239002E0
7,800000000E-1;1,138783764E0;2,233933708E-1;9,026133840E-1;4,867579728E0
7,900000000E-1;1,146124853E0;2,280978352E-1;8,606510664E-1;3,791940442E0
8,000000000E-1;1,153255544E0;2,327130108E-1;8,327538412E-1;2,656807698E0
8,100000000E-1;1,160053562E0;2,372292461E-1;8,062269985E-1;3,616203080E0
8,200000000E-1;1,166722719E0;2,415807036E-1;7,645386956E-1;4,031741753E0
8,300000000E-1;1,172874723E0;2,455614475E-1;7,206910576E-1;4,490948449E0
8,400000000E-1;1,178647304E0;2,496777714E-1;6,812295092E-1;3,408129120E0
8,500000000E-1;1,184065411E0;2,533330612E-1;6,476519167E-1;3,610994522E0
8,600000000E-1;1,189482472E0;2,567756830E-1;6,158504608E-1;3,932509520E0
8,700000000E-1;1,194337162E0;2,601301070E-1;5,662646442E-1;3,890449513E0
8,800000000E-1;1,198972814E0;2,629559473E-1;5,359916785E-1;3,838956064E0
8,900000000E-1;1,203375095E0;2,658947070E-1;4,957636482E-1;3,531053674E0
9,000000000E-1;1,207222666E0;2,684561816E-1;4,577841965E-1;3,355896573E0
9,100000000E-1;1,211164479E0;2,707063637E-1;4,367485910E-1;3,155692787E0
9,200000000E-1;1,214717162E0;2,729430804E-1;3,959263140E-1;3,791732433E0
9,300000000E-1;1,217712452E0;2,751591275E-1;3,584052571E-1;3,965022947E0
9,400000000E-1;1,220855171E0;2,766453195E-1;3,198350182E-1;3,676830182E0
9,500000000E-1;1,223195624E0;2,784534564E-1;2,817467313E-1;3,354640775E0
9,600000000E-1;1,225468621E0;2,798808370E-1;2,548935080E-1;3,790126783E0
9,700000000E-1;1,227609114E0;2,810048055E-1;2,086048383E-1;4,648925171E0
9,800000000E-1;1,228973366E0;2,821442750E-1;1,610539059E-1;4,429017873E0
9,900000000E-1;1,230086080E0;2,830639285E-1;1,230401886E-1;3,985749005E0
1,000000000E0;1,231094485E0;2,833918365E-1;8,200781118E-2;4,363758434E0
1,010000000E0;1,231260294E0;2,842090630E-1;5,487177042E-2;3,690117003E0
1,020000000E0;1,231325708E0;2,844646367E-1;1,299258511E-2;3,601066462E0
1,030000000E0;1,231243244E0;2,844683548E-1;1,940888039E-2;3,185789860E0
1,040000000E0;1,231005617E0;2,842450387E-1;5,516131809E-2;4,699844821E0
1,050000000E0;1,230311636E0;2,838774108E-1;1,132620857E-1;4,507687355E0
1,060000000E0;1,228962647E0;2,832664709E-1;1,509996692E-1;3,870111982E0
1,070000000E0;1,227772068E0;2,822431060E-1;1,802669951E-1;2,867024044E0
1,080000000E0;1,226115002E0;2,810552732E-1;2,127159419E-1;3,807042571E0
1,090000000E0;1,224243549E0;2,798663892E-1;2,486418821E-1;3,785069075E0
1,100000000E0;1,221895621E0;2,784235561E-1;2,916627441E-1;4,257126329E0
1,110000000E0;1,219511703E0;2,764551580E-1;3,301548746E-1;3,733683031E0
1,120000000E0;1,216297810E0;2,749213557E-1;3,656506037E-1;4,083843522E0
1,130000000E0;1,213097542E0;2,729425121E-1;4,062807707E-1;3,620181926E0
1,140000000E0;1,209387564E0;2,706465307E-1;4,367505792E-1;3,683668974E0
1,150000000E0;1,205768894E0;2,681894765E-1;4,709395007E-1;3,030394360E0
1,160000000E0;1,201446926E0;2,655809735E-1;5,047168009E-1;3,321337075E0
1,170000000E0;1,197385840E0;2,625663073E-1;5,264166827E-1;3,432808101E0
1,180000000E0;1,192933715E0;2,593865355E-1;5,725956173E-1;4,109664844E0
1,190000000E0;1,187650631E0;2,565353874E-1;6,091064418E-1;3,961959928E0
1,200000000E0;1,182666348E0;2,528302085E-1;6,458401416E-1;3,939817136E0
1,210000000E0;1,177104934E0;2,490766960E-1;6,876248018E-1;4,324985472E0
1,220000000E0;1,171235438E0;2,451839375E-1;7,293797399E-1;3,856454615E0
1,230000000E0;1,165075433E0;2,408250884E-1;7,673981644E-1;3,881483758E0
1,240000000E0;1,158616772E0;2,364472778E-1;8,037158315E-1;3,695016955E0
1,250000000E0;1,151751122E0;2,318336257E-1;8,428653602E-1;3,625355369E0
