mass_A
t;x;y;v;a
8,440000000E0;1,787610077E-1;2,888390280E-1;;
8,480000000E0;1,831998884E-1;2,855639227E-1;1,391921834E-1;
8,520000000E0;1,877318568E-1;2,822420260E-1;1,444044870E-1;1,234212333E-1
8,560000000E0;1,925230137E-1;2,787421683E-1;1,497548881E-1;2,122073024E-1
8,600000000E0;1,973456005E-1;2,750932007E-1;1,599578416E-1;2,787420084E-1
8,640000000E0;2,027879779E-1;2,711012141E-1;1,735172325E-1;2,658159314E-1
8,680000000E0;2,086322771E-1;2,670121363E-1;1,806761716E-1;2,264722666E-1
8,720000000E0;2,145917816E-1;2,627590895E-1;1,905047870E-1;2,164150857E-1
8,760000000E0;2,209424178E-1;2,580271651E-1;1,995047413E-1;2,177354851E-1
8,800000000E0;2,275158214E-1;2,533941066E-1;2,063251160E-1;3,046495088E-1
8,840000000E0;2,344559105E-1;2,485490925E-1;2,233068280E-1;3,135548562E-1
8,880000000E0;2,421218581E-1;2,431079167E-1;2,339458922E-1;2,716391755E-1
8,920000000E0;2,498911749E-1;2,379647188E-1;2,409550227E-1;1,832798760E-1
8,960000000E0;2,582345196E-1;2,325267161E-1;2,494440403E-1;2,355008667E-1
9,000000000E0;2,666315220E-1;2,271026892E-1;2,575762511E-1;2,176256091E-1
9,040000000E0;2,755508807E-1;2,213573383E-1;2,680168941E-1;1,847198218E-1
9,080000000E0;2,847926616E-1;2,157051209E-1;2,708012248E-1;2,678586363E-1
9,120000000E0;2,940522281E-1;2,100864340E-1;2,850698145E-1;3,095235600E-1
9,160000000E0;3,044521353E-1;2,041465826E-1;2,989426375E-1;2,346160158E-1
9,200000000E0;3,147883714E-1;1,981717689E-1;3,001432024E-1;2,666361006E-1
9,240000000E0;3,253785751E-1;1,923722825E-1;2,958650164E-1;2,940026123E-1
9,280000000E0;3,360554574E-1;1,877822480E-1;3,173020294E-1;3,636550708E-1
9,320000000E0;3,479096063E-1;1,806800486E-1;3,347097804E-1;3,306375647E-1
9,360000000E0;3,595313292E-1;1,749028256E-1;3,350849328E-1;3,529939283E-1
9,400000000E0;3,721027369E-1;1,691346310E-1;3,444431516E-1;1,992655029E-1
9,440000000E0;3,846666521E-1;1,636104174E-1;3,411721027E-1;1,687314421E-1
9,480000000E0;3,971872637E-1;1,583774797E-1;3,485785921E-1;2,527225881E-1
9,520000000E0;4,104908972E-1;1,530864738E-1;3,595538550E-1;2,925575384E-1
9,560000000E0;4,240165396E-1;1,480056240E-1;3,667914449E-1;1,783856973E-1
9,600000000E0;4,380359312E-1;1,429720646E-1;3,697683781E-1;1,761312593E-1
9,640000000E0;4,519276193E-1;1,382058787E-1;3,723135837E-1;2,334320796E-1
9,680000000E0;4,663036341E-1;1,335865245E-1;3,816357520E-1;2,373940907E-1
9,720000000E0;4,811216597E-1;1,292704755E-1;3,814212508E-1;2,039078340E-1
9,760000000E0;4,956820033E-1;1,253404762E-1;3,874566617E-1;4,676066410E-1
9,800000000E0;5,110647696E-1;1,212582833E-1;3,859500996E-1;7,176499805E-2
9,840000000E0;5,260158429E-1;1,195797434E-1;3,842142658E-1;2,388472910E-1
9,880000000E0;5,409517514E-1;1,140791348E-1;4,025858860E-1;2,243579863E-1
9,920000000E0;5,569843420E-1;1,107347109E-1;4,031107482E-1;5,867569257E-1
9,960000000E0;5,726388353E-1;1,080859994E-1;3,990366317E-1;2,547773547E-1
1,000000000E1;5,884663632E-1;1,054473836E-1;4,072057834E-1;2,459246112E-1
1,004000000E1;6,048829902E-1;1,034448359E-1;4,127432127E-1;2,278706999E-1
1,008000000E1;6,212402496E-1;1,014278169E-1;4,068654521E-1;2,007275260E-1
1,012000000E1;6,372560254E-1;1,000626227E-1;4,050573172E-1;1,981732029E-1
1,016000000E1;6,535394361E-1;9,881636040E-2;4,088126179E-1;1,669606344E-1
1,020000000E1;6,698856162E-1;9,784283729E-2;4,146298210E-1;2,402938441E-1
1,024000000E1;6,866517357E-1;9,685419400E-2;4,009799533E-1;2,700109785E-1
