43577,00;jan.15;0.248;0.226;0.19
43577,00;jan.14;0.244;0.275;0.202
43577,00;jan.13;0.239;0.165;0.21
43607,00;jan.13;0.235;0.195;0.216
43607,00;01.des;0.23;0.233;0.224
43638,00;01.nov;0.225;0.247;0.236
43638,00;01.jan;0.22;0.222;0.243
43638,00;01.sep;0.215;0.237;0.252
43668,00;01.sep;0.209;0.23;0.263
43668,00;01.aug;0.204;0.321;0.268
43699,00;01.jul;0.199;0.221;0.282
43699,00;01.jun;0.193;0.103;0.289
43699,00;01.mai;0.188;0.202;0.287
43730,00;01.apr;0.182;0.399;0.303
43730,00;01.feb;0.177;0.244;0.317
23,00;01.jan;0.172;0.154;0.316
23,00;1,00E+00;0.166;0.209;0.316
23,00;0.99;0.162;0.292;0.329
43488,00;0.977;0.156;0.219;0.34
43488,00;0.965;0.152;0.182;0.341
43519,00;0.952;0.147;0.194;0.346
43519,00;0.938;0.142;0.226;0.347
43519,00;0.925;0.138;0.209;0.352
43547,00;0.911;0.134;0.286;0.359
43547,00;0.898;0.131;0.218;0.361
43578,00;0.883;0.128;0.114;0.37
43578,00;0.869;0.124;0.133;0.371
43578,00;0.855;0.121;0.242;0.376
43608,00;0.839;0.118;0.215;0.385
43608,00;0.824;0.115;0.173;0.382
43639,00;0.809;0.112;0.201;0.382
43639,00;0.794;0.11;0.221;0.389
43639,00;0.778;0.108;0.244;0.391
43669,00;0.763;0.106;0.209;0.389
43669,00;0.748;0.105;0.189;0.388
43700,00;0.732;0.104;0.392;0.389
43700,00;0.716;0.104;0.291;0.388
43700,00;0.701;0.104;0.0534;0.398
43731,00;0.685;0.104;0.0587;0.398
43731,00;0.669;0.104;0.293;0.39
24,00;0.653;0.105;0.16;0.391
24,00;0.638;0.106;0.112;0.39
24,00;0.622;0.107;0.203;0.387
43489,00;0.607;0.108;0.255;0.388
43489,00;0.591;0.11;0.212;0.389
43520,00;0.576;0.112;0.254;0.384
43520,00;0.561;0.114;0.196;0.376
43520,00;0.546;0.117;0.328;0.374
43548,00;0.532;0.119;0.127;0.375
43548,00;0.517;0.123;0.145;0.37
43579,00;0.503;0.126;0.143;0.365
43579,00;0.489;0.129;0.308;0.358
43579,00;0.475;0.133;0.177;0.358
43609,00;0.461;0.137;0.224;0.355
43609,00;0.448;0.141;0.189;0.347
43640,00;0.435;0.145;0.223;0.342
43640,00;0.422;0.149;0.184;0.337
43640,00;0.409;0.154;0.246;0.333
43670,00;0.397;0.159;0.244;0.325
43670,00;0.385;0.164;0.253;0.313
43701,00;0.374;0.168;0.164;0.306
43701,00;0.362;0.173;0.162;0.301
43701,00;0.351;0.178;0.272;0.301
43732,00;0.341;0.183;0.186;0.289
43732,00;0.331;0.188;0.223;0.286
25,00;0.32;0.194;0.236;0.279
25,00;0.311;0.198;0.382;0.261
25,00;0.302;0.203;0.169;0.254
43490,00;0.293;0.208;0.145;0.252
43490,00;0.284;0.213;0.233;0.247
43521,00;0.276;0.218;0.332;0.232
43521,00;0.268;0.222;0.249;0.221
43521,00;0.261;0.227;0.263;0.212
43549,00;0.254;0.231;0.254;0.201
43549,00;0.247;0.235;0.214;0.192
43580,00;0.241;0.24;0.134;0.185
43580,00;0.235;0.244;0.206;0.18
43580,00;0.229;0.248;0.262;0.17
43610,00;0.223;0.251;0.29;0.158
43610,00;0.218;0.255;0.271;0.148
43641,00;0.213;0.258;0.293;0.136
43641,00;0.209;0.261;0.29;0.125
43641,00;0.205;0.264;0.253;0.114
43671,00;0.202;0.266;0.223;0.104
43671,00;0.199;0.269;0.186;0.0963
43702,00;0.196;0.271;0.245;0.0888
43702,00;0.193;0.273;0.336;0.0774
43702,00;0.191;0.274;0.302;0.0613
43733,00;0.189;0.276;0.215;0.0522
43733,00;0.187;0.277;0.185;0.0458
26,00;0.186;0.278;0.291;0.0366
26,00;0.185;0.279;0.296;0.0237
26,00;0.185;0.279;0.293;0.0113
43491,00;0.184;0.279;0.214;0.00212
43491,00;0.184;0.279;0.194;0.007
43522,00;0.185;0.279;0.196;0.0131
43522,00;0.185;0.279;0.238;0.0226
43522,00;0.186;0.278;0.258;0.0323
43550,00;0.187;0.277;0.257;0.0425
43550,00;0.189;0.276;0.25;0.0529
43581,00;0.191;0.274;0.237;0.0613
43581,00;0.193;0.273;0.286;0.0719
43581,00;0.195;0.271;0.248;0.0842
43611,00;0.198;0.269;0.204;0.0925
43611,00;0.201;0.266;0.232;0.0993
43642,00;0.204;0.264;0.287;0.111
43642,00;0.208;0.261;0.277;0.123
43642,00;0.213;0.258;0.227;0.133
43672,00;0.217;0.255;0.285;0.141
43672,00;0.222;0.252;0.296;0.154
43703,00;0.227;0.248;0.253;0.167
43703,00;0.233;0.244;0.206;0.173
43703,00;0.239;0.241;0.234;0.183
43734,00;0.245;0.236;0.187;0.193
43734,00;0.252;0.232;0.168;0.197
27,00;0.258;0.228;0.246;0.204
27,00;0.266;0.224;0.292;0.216
27,00;0.273;0.219;0.269;0.228
43492,00;0.281;0.214;0.278;0.236
43492,00;0.29;0.21;0.209;0.249
43523,00;0.299;0.204;0.109;0.255
43523,00;0.307;0.2;0.28;0.254
43523,00;0.316;0.195;0.293;0.268
43551,00;0.327;0.19;0.223;0.281
43551,00;0.336;0.185;0.205;0.283
43582,00;0.347;0.18;0.421;0.293
43582,00;0.358;0.175;0.178;0.304
43582,00;0.369;0.17;0.11;0.306
43612,00;0.38;0.165;0.169;0.311
43612,00;0.392;0.16;0.243;0.317
43643,00;0.404;0.156;0.212;0.325
43643,00;0.416;0.151;0.174;0.334
43643,00;0.429;0.147;0.184;0.332
43673,00;0.441;0.143;0.205;0.336
43673,00;0.455;0.139;0.202;0.344
43704,00;0.468;0.135;0.239;0.346
43704,00;0.481;0.131;0.246;0.359
43704,00;0.496;0.127;0.0926;0.353
43735,00;0.509;0.125;0.176;0.354
43735,00;0.523;0.121;0.245;0.375
28,00;0.538;0.118;0.405;0.371
28,00;0.552;0.115;0.239;0.363
28,00;0.567;0.113;0.161;0.362
43493,00;0.581;0.111;0.22;0.37
43493,00;0.596;0.109;0.212;0.377
43524,00;0.611;0.107;0.192;0.374
43524,00;0.626;0.106;0.16;0.375
43524,00;0.641;0.105;0.129;0.376
43552,00;0.656;0.104;0.171;0.377
43552,00;0.671;0.104;0.389;0.375
43583,00;0.686;0.104;0.0691;0.38
43583,00;0.701;0.105;0.0596;0.378
43583,00;0.716;0.104;0.15;0.371
43613,00;0.731;0.104;0.408;0.374
43613,00;0.746;0.105;0.188;0.37
43644,00;0.76;0.106;0.204;0.367
43644,00;0.775;0.108;0.224;0.366
43644,00;0.79;0.11;0.209;0.368
43674,00;0.804;0.112;0.215;0.362
43674,00;0.818;0.114;0.173;0.355
43705,00;0.832;0.117;0.11;0.352
43705,00;0.846;0.119;0.253;0.353
43705,00;0.86;0.122;0.228;0.342
43736,00;0.873;0.126;0.0626;0.341
43736,00;0.886;0.129;0.0919;0.343
29,00;0.899;0.132;0.282;0.33
29,00;0.912;0.135;0.252;0.325
29,00;0.924;0.139;0.193;0.325
43494,00;0.937;0.143;0.211;0.318
43494,00;0.949;0.147;0.203;0.311
29.2;0.96;0.151;0.158;0.307
29.2;0.972;0.155;0.203;0.301
29.2;0.983;0.16;0.227;0.295
43553,00;0.993;0.164;0.247;0.286
43553,00;1,00E+00;0.169;0.249;0.278
43584,00;01.jan;0.173;0.0921;0.267
43584,00;01.feb;0.177;0.127;0.268
43584,00;01.mar;0.182;0.224;0.264
43614,00;01.apr;0.186;0.244;0.248
43614,00;01.mai;0.191;0.0708;0.246
43645,00;01.jun;0.195;0.104;0.244
43645,00;01.jul;0.199;0.282;0.24
43645,00;01.aug;0.204;0.28;0.226
43675,00;01.aug;0.208;0.216;0.215
43675,00;01.sep;0.213;0.171;0.212
43706,00;01.jan;0.217;0.313;0.201
43706,00;01.nov;0.221;0.302;0.187
43706,00;01.nov;0.224;0.23;0.176
43737,00;01.des;0.228;0.161;0.169
43737,00;01.des;0.231;0.17;0.164
30,00;jan.13;0.235;0.24;0.156
30,00;jan.13;0.238;0.287;0.145
30,00;jan.14;0.241;0.236;0.133
43495,00;jan.14;0.244;0.237;0.126
43495,00;jan.15;0.246;0.248;0.116
30.2;jan.15;0.249;0.222;0.105
30.2;jan.15;0.251;0.231;0.0995
30.2;jan.16;0.253;0.264;0.0874
43554,00;jan.16;0.255;0.274;0.0761
43554,00;jan.16;0.256;0.205;0.0677
43585,00;jan.16;0.258;0.244;0.0582
43585,00;jan.17;0.259;0.268;0.0495
43585,00;jan.17;0.26;0.32;0.0363
43615,00;jan.17;0.26;0.223;0.0243
43615,00;jan.17;0.261;0.181;0.0183
43646,00;jan.17;0.261;0.22;0.0112
43646,00;jan.17;0.261;0.292;0.00123
43646,00;jan.17;0.261;0.235;0.0117
43676,00;jan.17;0.261;0.211;0.0202
43676,00;jan.17;0.261;0.227;0.0271
43707,00;jan.17;0.26;0.227;0.0384
43707,00;jan.17;0.259;0.174;0.0457
43707,00;jan.16;0.259;0.21;0.0515
43738,00;jan.16;0.257;0.262;0.0617
43738,00;jan.16;0.256;0.245;0.0725
31,00;jan.16;0.254;0.253;0.0811
31,00;jan.15;0.253;0.246;0.092
31,00;jan.15;0.251;0.203;0.102
43496,00;jan.15;0.248;0.213;0.107
43496,00;jan.14;0.246;0.275;0.118
31.2;jan.14;0.243;0.248;0.13
31.2;jan.14;0.241;0.192;0.137
31.2;jan.13;0.238;0.203;0.145
43555,00;jan.13;0.234;0.205;0.154
43555,00;01.des;0.231;0.165;0.161
31.4;01.nov;0.228;0.119;0.167
31.4;01.nov;0.224;0.191;0.171
31.4;01.jan;0.22;0.2;0.18
43616,00;01.jan;0.216;0.247;0.189
43616,00;01.sep;0.212;0.237;0.197
31.6;01.aug;0.208;0.277;0.208
31.6;01.aug;0.204;0.251;0.218
31.6;01.jul;0.199;0.28;0.226
43677,00;01.jun;0.195;0.21;0.238
43677,00;01.mai;0.19;0.0485;0.246
43708,00;01.apr;0.185;0.231;0.237
43708,00;01.mar;0.181;0.358;0.255
43708,00;01.feb;0.176;0.295;0.273
31.9;01.feb;0.171;0.118;0.272
31.9;1,00E+00;0.167;0.185;0.278
32,00;0.995;0.162;0.137;0.284
32,00;0.984;0.158;0.2;0.285
32,00;0.974;0.154;0.263;0.294
32.1;0.962;0.149;0.213;0.307
32.1;0.951;0.145;0.186;0.307
32.2;0.939;0.141;0.189;0.304
32.2;0.927;0.138;0.229;0.311
32.2;0.915;0.134;0.226;0.318
32.3;0.903;0.131;0.472;0.325
32.3;0.89;0.128;0.186;0.343
32.4;0.876;0.125;0.0941;0.342
32.4;0.863;0.122;0.0314;0.331
32.4;0.85;0.119;0.34;0.341
32.5;0.837;0.117;0.174;0.348
32.5;0.823;0.114;0.117;0.348
32.6;0.809;0.112;0.157;0.35
32.6;0.795;0.11;0.188;0.352
32.6;0.781;0.109;0.22;0.354
32.7;0.767;0.107;0.151;0.359
32.7;0.753;0.106;0.178;0.357
32.8;0.738;0.105;0.186;0.355
32.8;0.724;0.105;0.388;0.361
32.8;0.71;0.105;0.109;0.369
32.9;0.695;0.106;0.225;0.358
32.9;0.681;0.105;0.164;0.346
33,00;0.667;0.105;0.269;0.35
33,00;0.653;0.106;0.135;0.348
33,00;0.639;0.107;0.0853;0.341
33.1;0.626;0.108;0.14;0.34
33.1;0.612;0.109;0.201;0.347
33.2;0.598;0.11;0.155;0.351
33.2;0.584;0.112;0.17;0.346
33.2;0.571;0.114;0.194;0.341
33.3;0.557;0.116;0.15;0.339
33.3;0.544;0.118;0.304;0.339
33.4;0.53;0.12;0.152;0.337
33.4;0.518;0.124;0.214;0.331
33.4;0.505;0.126;0.092;0.322
33.5;0.492;0.129;0.249;0.321
33.5;0.48;0.132;0.172;0.323
33.6;0.467;0.135;0.175;0.317
33.6;0.455;0.138;0.28;0.313
33.6;0.443;0.142;0.285;0.299
33.7;0.432;0.145;0.198;0.289
33.7;0.421;0.149;0.146;0.29
33.8;0.41;0.153;0.215;0.282
33.8;0.4;0.157;0.209;0.276
33.8;0.39;0.161;0.178;0.272
33.9;0.38;0.165;0.217;0.265
33.9;0.37;0.169;0.146;0.256
34,00;0.361;0.173;0.118;0.252
34,00;0.352;0.178;0.201;0.252
34,00;0.343;0.182;0.414;0.239
34.1;0.335;0.186;0.173;0.223
34.1;0.327;0.191;0.184;0.224
34.2;0.319;0.194;0.223;0.219
34.2;0.311;0.198;0.36;0.202
34.2;0.304;0.202;0.229;0.199
34.3;0.298;0.206;0.199;0.191
34.3;0.291;0.21;0.246;0.181
34.4;0.285;0.213;0.266;0.173
34.4;0.279;0.217;0.308;0.16
34.4;0.274;0.22;0.211;0.148
34.5;0.269;0.223;0.183;0.143
34.5;0.264;0.226;0.184;0.137
34.6;0.26;0.228;0.232;0.127
34.6;0.255;0.231;0.2;0.119
34.6;0.251;0.233;0.209;0.111
34.7;0.248;0.235;0.188;0.103
34.7;0.244;0.237;0.236;0.0958
34.8;0.241;0.239;0.273;0.0849
34.8;0.239;0.241;0.248;0.0728
34.8;0.236;0.242;0.225;0.0654
34.9;0.234;0.244;0.215;0.0563
34.9;0.232;0.244;0.225;0.0476
35,00;0.231;0.245;0.236;0.0394
