mass_A
t;x;y;v;a
5,640000000E0;1,547306438E-1;2,961166369E-1;;
5,650000000E0;1,579510067E-1;2,938972035E-1;4,109744059E-1;
5,660000000E0;1,614679569E-1;2,914082830E-1;4,490544553E-1;4,789341444E0
5,670000000E0;1,653668220E-1;2,888310762E-1;5,037281374E-1;5,202673170E0
5,680000000E0;1,698406015E-1;2,858051020E-1;5,582931643E-1;4,254303682E0
5,690000000E0;1,745839323E-1;2,825285862E-1;5,853520810E-1;3,591329107E0
5,700000000E0;1,793467818E-1;2,789722870E-1;6,214232842E-1;4,547704170E0
5,710000000E0;1,844985007E-1;2,750340487E-1;6,784073662E-1;4,177046014E0
5,720000000E0;1,903389623E-1;2,710182573E-1;7,089381108E-1;3,366533721E0
5,730000000E0;1,960377443E-1;2,667949252E-1;7,341727272E-1;3,283521013E0
5,740000000E0;2,023918365E-1;2,626318360E-1;7,788381932E-1;4,527326864E0
5,750000000E0;2,088080865E-1;2,578756242E-1;8,231015890E-1;5,399430173E0
5,760000000E0;2,158158561E-1;2,531032377E-1;8,856785041E-1;4,369058397E0
5,770000000E0;2,234691738E-1;2,479346440E-1;9,132260613E-1;3,257370353E0
5,780000000E0;2,310523678E-1;2,430314231E-1;9,363113158E-1;4,271196087E0
5,790000000E0;2,391548290E-1;2,377056766E-1;1,004625355E0;5,052752852E0
5,800000000E0;2,477869784E-1;2,319110972E-1;1,041501866E0;3,283892002E0
5,810000000E0;2,567007046E-1;2,264792479E-1;1,059403490E0;8,913226751E-1
5,820000000E0;2,657866083E-1;2,207330998E-1;1,064472526E0;2,580290806E0
5,830000000E0;2,746289566E-1;2,149980248E-1;1,097035701E0;5,526617764E0
5,840000000E0;2,845421141E-1;2,093477613E-1;1,170734604E0;5,417270147E0
5,850000000E0;2,950260190E-1;2,034998662E-1;1,194015635E0;2,456341668E0
5,860000000E0;3,054790378E-1;1,978623548E-1;1,198662577E0;5,061553913E0
5,870000000E0;3,162379594E-1;1,923298001E-1;1,269412560E0;4,971784430E0
5,880000000E0;3,283098208E-1;1,867574619E-1;1,315259567E0;3,900938186E0
5,890000000E0;3,396549241E-1;1,803461090E-1;1,328478150E0;3,051937201E0
5,900000000E0;3,517832804E-1;1,743100375E-1;1,374487575E0;5,387855590E0
5,910000000E0;3,645278649E-1;1,686404157E-1;1,372869516E0;3,365090145E0
5,920000000E0;3,769484270E-1;1,633271564E-1;1,374081419E0;3,538470878E0
5,930000000E0;3,899020296E-1;1,580861910E-1;1,432991426E0;4,071617396E0
5,940000000E0;4,035719348E-1;1,527170384E-1;1,456190022E0;3,556679815E0
5,950000000E0;4,170565187E-1;1,475586329E-1;1,466695192E0;3,743753757E0
5,960000000E0;4,311871373E-1;1,428236817E-1;1,486505105E0;4,060175052E0
5,970000000E0;4,453081769E-1;1,382999733E-1;1,507319006E0;2,992735151E0
5,980000000E0;4,599655188E-1;1,338454306E-1;1,541993705E0;3,854523960E0
5,990000000E0;4,748301112E-1;1,293807117E-1;1,568201481E0;2,935787302E0
6,000000000E0;4,901339827E-1;1,252683600E-1;1,563366169E0;4,081894045E0
6,010000000E0;5,050938728E-1;1,215225793E-1;1,576421660E0;1,751452952E0
6,020000000E0;5,208400877E-1;1,181145348E-1;1,599470571E0;3,254055171E0
6,030000000E0;5,362358359E-1;1,142081703E-1;1,618283018E0;3,624593590E0
6,040000000E0;5,524384054E-1;1,111086594E-1;1,623402121E0;5,562671204E0
6,050000000E0;5,681973786E-1;1,084955907E-1;1,598938458E0;3,378322781E0
6,060000000E0;5,840503140E-1;1,062786582E-1;1,607884249E0;3,322966749E0
6,070000000E0;6,000607121E-1;1,041545443E-1;1,608294396E0;4,158352075E0
6,080000000E0;6,160082479E-1;1,026269727E-1;1,606953168E0;4,076436118E0
6,090000000E0;6,320943214E-1;1,015531472E-1;1,614639948E0;2,283025943E0
6,100000000E0;6,482382728E-1;1,006144231E-1;1,619731081E0;2,017169664E0
6,110000000E0;6,644396448E-1;9,976665189E-2;1,629041223E0;7,275744300E0
6,120000000E0;6,807921151E-1;9,928872436E-2;1,622185905E0;2,060859050E0
6,130000000E0;6,968695996E-1;1,007115727E-1;1,640173909E0;1,304925637E0
6,140000000E0;7,135947599E-1;9,952255269E-2;1,656073871E0;1,150505264E0
6,150000000E0;7,299848903E-1;1,000714250E-1;1,620003589E0;8,115821002E0
6,160000000E0;7,459643334E-1;1,009280291E-1;1,600224277E0;4,490984732E0
6,170000000E0;7,619150487E-1;1,022513515E-1;1,602995800E0;4,167220753E0
6,180000000E0;7,778696265E-1;1,040729427E-1;1,599719424E0;3,951850945E0
6,190000000E0;7,936736376E-1;1,061285834E-1;1,585971932E0;3,716134162E0
6,200000000E0;8,092577473E-1;1,086455419E-1;1,558817418E0;4,338059238E0
6,210000000E0;8,244365614E-1;1,111889407E-1;1,522938894E0;3,205345991E0
6,220000000E0;8,392188280E-1;1,141292262E-1;1,510519844E0;2,866102912E0
6,230000000E0;8,540687063E-1;1,170714631E-1;1,492378939E0;2,637264069E0
6,240000000E0;8,684333036E-1;1,202441565E-1;1,481142508E0;3,233986967E-1
6,250000000E0;8,829138549E-1;1,238146561E-1;1,496844647E0;4,645359506E-1
6,260000000E0;8,977207946E-1;1,264458038E-1;1,488323688E0;2,816391445E0
6,270000000E0;9,120364276E-1;1,299724740E-1;1,483719707E0;5,052059503E0
6,280000000E0;9,264130970E-1;1,340168970E-1;1,464621225E0;3,502628340E0
6,290000000E0;9,402409437E-1;1,378814186E-1;1,435267339E0;3,631399824E0
6,300000000E0;9,538990551E-1;1,422945197E-1;1,419721560E0;3,653690130E0
6,310000000E0;9,672417764E-1;1,466677007E-1;1,399437426E0;3,080565755E0
6,320000000E0;9,803400183E-1;1,514730552E-1;1,382548527E0;3,601590833E0
6,330000000E0;9,931913670E-1;1,562173039E-1;1,340387521E0;3,674791771E0
6,340000000E0;1,005431045E0;1,609121154E-1;1,312808636E0;4,199250296E0
6,350000000E0;1,017569210E0;1,659696047E-1;1,289465215E0;4,585455721E0
6,360000000E0;1,029119101E0;1,711084005E-1;1,258709581E0;6,259886225E0
6,370000000E0;1,040345256E0;1,766930209E-1;1,201397756E0;6,870004979E0
6,380000000E0;1,050515497E0;1,820416919E-1;1,139276832E0;3,279790768E0
6,390000000E0;1,060241356E0;1,877982398E-1;1,139503166E0;3,087225794E0
6,400000000E0;1,070764583E0;1,924992961E-1;1,096661878E0;4,037079333E0
6,410000000E0;1,079917104E0;1,974900848E-1;1,052920960E0;6,770764994E0
6,420000000E0;1,088917166E0;2,031736004E-1;1,022983309E0;3,020154632E0
6,430000000E0;1,097280270E0;2,083122106E-1;9,937513201E-1;4,132024248E0
6,440000000E0;1,105716961E0;2,137935598E-1;9,568419958E-1;2,962088571E0
6,450000000E0;1,113429106E0;2,185803040E-1;9,207398944E-1;4,104513975E0
6,460000000E0;1,121139230E0;2,238562836E-1;8,955165372E-1;3,303870245E0
6,470000000E0;1,128187622E0;2,287275267E-1;8,456684631E-1;3,866392917E0
6,480000000E0;1,135131252E0;2,333581462E-1;8,224265230E-1;3,231634652E0
6,490000000E0;1,141732027E0;2,380604399E-1;7,844488676E-1;4,697422634E0
6,500000000E0;1,147905310E0;2,424667925E-1;7,287639417E-1;4,297030057E0
6,510000000E0;1,153561107E0;2,465758151E-1;6,944510756E-1;4,008023231E0
6,520000000E0;1,159168761E0;2,505932681E-1;6,563403780E-1;3,560429650E0
6,530000000E0;1,164249559E0;2,541961875E-1;6,154938140E-1;3,833268270E0
6,540000000E0;1,169120558E0;2,578385963E-1;5,858384175E-1;2,968401506E0
6,550000000E0;1,173682925E0;2,611455950E-1;5,523789204E-1;4,172381303E0
6,560000000E0;1,178072013E0;2,643131957E-1;5,101628947E-1;3,501566142E0
6,570000000E0;1,182120733E0;2,668823076E-1;4,826996452E-1;2,947437801E0
6,580000000E0;1,186270733E0;2,694103101E-1;4,695689364E-1;2,093105667E0
6,590000000E0;1,190214693E0;2,716452684E-1;4,396633762E-1;3,018937171E0
6,600000000E0;1,193884800E0;2,738088934E-1;4,102257217E-1;3,325193771E0
6,610000000E0;1,197214643E0;2,759248428E-1;3,737516912E-1;3,843031467E0
6,620000000E0;1,200377434E0;2,775131929E-1;3,328060047E-1;4,135796513E0
6,630000000E0;1,203014589E0;2,791905069E-1;2,913843861E-1;3,536903472E0
6,640000000E0;1,205317639E0;2,806045227E-1;2,604528835E-1;2,840755839E0
6,650000000E0;1,207545461E0;2,817606199E-1;2,394255167E-1;3,343156444E0
6,660000000E0;1,209561848E0;2,828218465E-1;1,968538582E-1;4,397882041E0
6,670000000E0;1,211040188E0;2,835737550E-1;1,469610984E-1;4,221334889E0
6,680000000E0;1,212172972E0;2,841713118E-1;1,146617652E-1;2,843610314E0
6,690000000E0;1,213157834E0;2,844538148E-1;9,145595283E-2;2,520329554E0
6,700000000E0;1,213891851E0;2,847967165E-1;6,558349303E-2;3,807731158E0
6,710000000E0;1,214374701E0;2,849434186E-1;2,783350611E-2;4,351683385E0
6,720000000E0;1,214394678E0;2,845578729E-1;3,846484251E-2;4,444472763E0
6,730000000E0;1,214185073E0;2,841978592E-1;6,471593360E-2;4,619648003E0
6,740000000E0;1,213296291E0;2,838731788E-1;1,198468546E-1;4,858501049E0
6,750000000E0;1,212108648E0;2,830004591E-1;1,636938782E-1;4,679767908E0
6,760000000E0;1,210678215E0;2,819074852E-1;2,090996347E-1;4,379816175E0
6,770000000E0;1,208657873E0;2,806380000E-1;2,530874529E-1;4,336526534E0
6,780000000E0;1,206328603E0;2,793186277E-1;2,912288317E-1;3,785369782E0
6,790000000E0;1,203660348E0;2,776462715E-1;3,309683392E-1;4,240244167E0
6,800000000E0;1,200626482E0;2,759568083E-1;3,734231536E-1;3,775017835E0
6,810000000E0;1,197241831E0;2,738278191E-1;4,100908633E-1;3,234036658E0
6,820000000E0;1,193666616E0;2,716174446E-1;4,340811359E-1;2,960812356E0
6,830000000E0;1,189895109E0;2,692022105E-1;4,686109494E-1;4,370399040E0
6,840000000E0;1,185687221E0;2,667013748E-1;5,203002778E-1;3,598675027E0
6,850000000E0;1,181154831E0;2,635548667E-1;5,469902648E-1;2,887422395E0
6,860000000E0;1,176454850E0;2,608325877E-1;5,686498312E-1;3,157803111E0
6,870000000E0;1,171499513E0;2,575448854E-1;6,150624525E-1;4,330978088E0
6,880000000E0;1,166118001E0;2,541639833E-1;6,542687950E-1;3,470767384E0
6,890000000E0;1,160440904E0;2,505495847E-1;6,848395809E-1;3,418419807E0
6,900000000E0;1,154547112E0;2,468348207E-1;7,197528316E-1;4,096417978E0
6,910000000E0;1,148328721E0;2,427705947E-1;7,667388123E-1;3,703669663E0
6,920000000E0;1,141785793E0;2,383316392E-1;7,963649219E-1;3,051887873E0
6,930000000E0;1,134927908E0;2,341626313E-1;8,204757291E-1;3,578567331E0
6,940000000E0;1,127833200E0;2,296946644E-1;8,658773060E-1;4,478423081E0
6,950000000E0;1,120213163E0;2,250317107E-1;9,118214114E-1;4,296260081E0
6,960000000E0;1,112177199E0;2,203428237E-1;9,498845730E-1;2,204761929E0
6,970000000E0;1,103934211E0;2,152384479E-1;9,600655752E-1;1,478686752E0
6,980000000E0;1,095793785E0;2,103291265E-1;9,677943286E-1;2,149204898E0
6,990000000E0;1,087450203E0;2,050931129E-1;1,006279177E0;4,631980698E0
7,000000000E0;1,078668875E0;1,997566826E-1;1,057753019E0;5,425981151E0
7,010000000E0;1,069214599E0;1,943693394E-1;1,105014748E0;3,075885385E0
7,020000000E0;1,059309411E0;1,890967490E-1;1,110384190E0;1,894045816E0
7,030000000E0;1,049681650E0;1,838031144E-1;1,131780682E0;2,880943233E0
7,040000000E0;1,039459227E0;1,782182750E-1;1,175393783E0;4,926421486E0
7,050000000E0;1,028865269E0;1,728807285E-1;1,208295572E0;3,955277587E0
7,060000000E0;1,017712567E0;1,676791063E-1;1,219454133E0;3,374364582E0
7,070000000E0;1,006643012E0;1,628309197E-1;1,252374656E0;3,174912322E0
7,080000000E0;9,948372856E-1;1,574762445E-1;1,290284988E0;3,861153367E0
7,090000000E0;9,829449792E-1;1,526163530E-1;1,306154262E0;3,974807892E0
7,100000000E0;9,705885633E-1;1,477595038E-1;1,340463530E0;3,734292575E0
7,110000000E0;9,578546986E-1;1,431709937E-1;1,358047135E0;2,525463659E0
7,120000000E0;9,449700773E-1;1,387367554E-1;1,368981178E0;2,662122993E0
7,130000000E0;9,319541103E-1;1,342938708E-1;1,398373971E0;3,421115861E0
7,140000000E0;9,184014095E-1;1,300025814E-1;1,413382754E0;4,190526862E0
7,150000000E0;9,048558170E-1;1,262475783E-1;1,406480195E0;7,491041352E0
7,160000000E0;8,911948922E-1;1,228555518E-1;1,469571035E0;1,721858545E0
7,170000000E0;8,760481337E-1;1,204189426E-1;1,458987311E0;6,632204974E-1
7,180000000E0;8,627199077E-1;1,164811622E-1;1,438734052E0;1,730741442E0
7,190000000E0;8,480892935E-1;1,136155961E-1;1,500568216E0;7,010195006E0
7,200000000E0;8,331951003E-1;1,110989934E-1;1,510694721E0;2,665673511E0
7,210000000E0;8,182728891E-1;1,087307781E-1;1,522336473E0;2,869094348E0
7,220000000E0;8,030924816E-1;1,065343818E-1;1,553244699E0;3,216684306E0
7,230000000E0;7,874977646E-1;1,044976530E-1;1,556014120E0;3,562043612E0
7,240000000E0;7,721739356E-1;1,029966576E-1;1,540051405E0;3,176828499E0
7,250000000E0;7,568170023E-1;1,017784328E-1;1,548447376E0;2,890540901E0
7,260000000E0;7,412894454E-1;1,007110563E-1;1,553607181E0;4,096122929E0
7,270000000E0;7,257895780E-1;1,001119859E-1;1,559972801E0;7,146201229E0
7,280000000E0;7,100968535E-1;1,000566345E-1;1,601472900E0;1,836892026E0
7,290000000E0;6,937739816E-1;1,010542013E-1;1,559600455E0;1,792086830E0
7,300000000E0;6,789078145E-1;1,004870741E-1;1,533023671E0;1,847694760E0
7,310000000E0;6,631138688E-1;1,012029148E-1;1,558436316E0;4,873685429E0
7,320000000E0;6,477732363E-1;1,019456827E-1;1,518554352E0;3,647398974E0
7,330000000E0;6,328000222E-1;1,030666832E-1;1,493480773E0;2,368500052E0
7,340000000E0;6,179831992E-1;1,041245859E-1;1,495628333E0;2,304860353E0
7,350000000E0;6,029955135E-1;1,056069393E-1;1,512789799E0;2,610995205E0
7,360000000E0;5,878938167E-1;1,072935367E-1;1,506513079E0;1,867933914E0
7,370000000E0;5,730756341E-1;1,091613000E-1;1,492760586E0;2,349619983E0
7,380000000E0;5,582839128E-1;1,111128636E-1;1,487795616E0;3,471146011E0
7,390000000E0;5,436288551E-1;1,134393285E-1;1,503771399E0;8,958102672E0
7,400000000E0;5,286648092E-1;1,163320658E-1;1,498448535E0;3,472420047E0
7,410000000E0;5,146485964E-1;1,210737119E-1;1,430913726E0;3,943707790E0
7,420000000E0;5,007321321E-1;1,225587171E-1;1,432796420E0;1,016455545E0
7,430000000E0;4,863983869E-1;1,258786987E-1;1,439665380E0;6,636748373E0
7,440000000E0;4,727610445E-1;1,293904681E-1;1,408195911E0;3,749074414E0
7,450000000E0;4,591517651E-1;1,330080669E-1;1,384095731E0;4,024796958E0
7,460000000E0;4,460543129E-1;1,366732479E-1;1,344141781E0;4,007167082E0
7,470000000E0;4,334205548E-1;1,407921315E-1;1,331481768E0;3,921141368E0
7,480000000E0;4,207468899E-1;1,449600942E-1;1,323332779E0;3,210724968E0
7,490000000E0;4,084965257E-1;1,496958743E-1;1,288936580E0;5,165855257E0
7,500000000E0;3,966337667E-1;1,540760304E-1;1,230291491E0;4,693966120E0
7,510000000E0;3,855640200E-1;1,586147890E-1;1,190717409E0;2,741242051E0
7,520000000E0;3,745214722E-1;1,629173883E-1;1,207206608E0;2,277916646E0
7,530000000E0;3,633478185E-1;1,680688628E-1;1,202873338E0;3,692955332E0
7,540000000E0;3,526430065E-1;1,729221096E-1;1,150910566E0;4,604796791E0
7,550000000E0;3,425407831E-1;1,779129134E-1;1,125214808E0;4,053220560E0
7,560000000E0;3,326552024E-1;1,832628558E-1;1,128519274E0;4,040410465E0
7,570000000E0;3,228465418E-1;1,889383005E-1;1,059387647E0;4,428949302E0
7,580000000E0;3,137317775E-1;1,927930637E-1;1,020980548E0;4,312754153E0
7,590000000E0;3,044728010E-1;1,978470692E-1;1,008329787E0;5,061106294E0
7,600000000E0;2,962431461E-1;2,028349438E-1;9,494918976E-1;4,488190946E0
7,610000000E0;2,881653042E-1;2,075774080E-1;9,246094576E-1;2,699179582E0
7,620000000E0;2,803047955E-1;2,122120458E-1;8,962212452E-1;3,126192199E0
7,630000000E0;2,727879455E-1;2,167872857E-1;8,641863140E-1;3,057437092E0
7,640000000E0;2,655999167E-1;2,212946519E-1;8,372679983E-1;4,925145591E0
7,650000000E0;2,586126817E-1;2,257018230E-1;7,735124134E-1;4,307952922E0
7,660000000E0;2,525818545E-1;2,296527998E-1;7,365437020E-1;2,949966631E0
7,670000000E0;2,462971625E-1;2,337843126E-1;7,308122057E-1;2,175023037E0
7,680000000E0;2,401743409E-1;2,373786137E-1;6,908033136E-1;4,087976594E0
