mass_A
t;x;y;v;a
2,070000000E0;1,432287726E-1;3,056394803E-1;;
2,080000000E0;1,452820440E-1;3,041233587E-1;2,981418488E-1;
2,090000000E0;1,480917125E-1;3,021887934E-1;3,602586923E-1;5,551592901E0
2,100000000E0;1,510338328E-1;2,997838362E-1;4,048821770E-1;4,388735294E0
2,110000000E0;1,545539273E-1;2,973090792E-1;4,493363366E-1;4,379340993E0
2,120000000E0;1,584098279E-1;2,946500312E-1;4,909647715E-1;4,475147274E0
2,130000000E0;1,623797758E-1;2,913782565E-1;5,388723473E-1;4,175996942E0
2,140000000E0;1,671067065E-1;2,882846825E-1;5,760406191E-1;3,453606823E0
2,150000000E0;1,718809370E-1;2,848623488E-1;6,037580114E-1;3,944697092E0
2,160000000E0;1,769328850E-1;2,812664412E-1;6,519771936E-1;4,037991222E0
2,170000000E0;1,824788076E-1;2,772653202E-1;6,900495641E-1;4,256441925E0
2,180000000E0;1,880675896E-1;2,731125639E-1;7,294599704E-1;3,980007624E0
2,190000000E0;1,943490355E-1;2,687834319E-1;7,762541945E-1;4,432789616E0
2,200000000E0;2,007125744E-1;2,641052009E-1;8,132844011E-1;3,187790719E0
2,210000000E0;2,076166020E-1;2,593736345E-1;8,434839480E-1;4,108660343E0
2,220000000E0;2,146111893E-1;2,545441041E-1;8,863529141E-1;3,300548042E0
2,230000000E0;2,222725922E-1;2,494011451E-1;9,163976316E-1;4,861595215E0
2,240000000E0;2,299585612E-1;2,445255202E-1;9,673954260E-1;4,536291383E0
2,250000000E0;2,384753282E-1;2,388269826E-1;1,024157186E0;4,694318247E0
2,260000000E0;2,471170923E-1;2,333387428E-1;1,049078690E0;2,838316752E0
2,270000000E0;2,561872200E-1;2,275790794E-1;1,082494177E0;2,821956836E0
2,280000000E0;2,654699399E-1;2,218543865E-1;1,096328300E0;3,288061280E0
2,290000000E0;2,749920297E-1;2,163028465E-1;1,139083519E0;3,890583113E0
2,300000000E0;2,850745940E-1;2,102499889E-1;1,180271479E0;4,384662839E0
2,310000000E0;2,953939535E-1;2,044294388E-1;1,214672217E0;5,724587653E0
2,320000000E0;3,062942218E-1;1,984221051E-1;1,223590836E0;3,365317603E0
2,330000000E0;3,174839008E-1;1,938983400E-1;1,261448652E0;3,807756315E0
2,340000000E0;3,287845256E-1;1,869902498E-1;1,316613576E0;5,142641244E0
2,350000000E0;3,405680687E-1;1,812290971E-1;1,349378503E0;6,327880379E0
2,360000000E0;3,531921235E-1;1,754751249E-1;1,380893010E0;3,813663962E0
2,370000000E0;3,657854855E-1;1,699672992E-1;1,391024307E0;1,884020420E0
2,380000000E0;3,788069434E-1;1,646187696E-1;1,401527332E0;3,762416594E0
2,390000000E0;3,916857949E-1;1,592488329E-1;1,443931554E0;4,188528487E0
2,400000000E0;4,056495198E-1;1,539674116E-1;1,482082139E0;4,387695709E0
2,410000000E0;4,195164271E-1;1,490467303E-1;1,478437114E0;3,005877663E0
2,420000000E0;4,336455158E-1;1,444524378E-1;1,501454012E0;3,414157483E0
2,430000000E0;4,481037241E-1;1,398536834E-1;1,526691172E0;2,562241348E0
2,440000000E0;4,628451809E-1;1,355252920E-1;1,522532664E0;3,706278139E0
