mass_A
t;x;y;v;a
3,800000000E0;1,561724419E-1;2,929500524E-1;;
3,810000000E0;1,596962085E-1;2,904610692E-1;4,789778543E-1;
3,820000000E0;1,638976365E-1;2,872853120E-1;5,525788086E-1;5,605175657E0
3,830000000E0;1,685514238E-1;2,838487701E-1;5,898568184E-1;2,757887895E0
3,840000000E0;1,735092373E-1;2,804450228E-1;6,055286389E-1;2,196505037E0
3,850000000E0;1,784374886E-1;2,768536508E-1;6,298735361E-1;3,758243992E0
3,860000000E0;1,836409836E-1;2,729587697E-1;6,811236254E-1;4,649092921E0
3,870000000E0;1,894699073E-1;2,688625622E-1;7,262379213E-1;4,718912203E0
3,880000000E0;1,955124943E-1;2,645900279E-1;7,706014119E-1;4,130416516E0
3,890000000E0;2,019655376E-1;2,598409305E-1;8,135828220E-1;3,968191201E0
3,900000000E0;2,086978090E-1;2,550551299E-1;8,452539690E-1;4,278545764E0
3,910000000E0;2,158548821E-1;2,502041355E-1;8,922028049E-1;3,571780458E0
3,920000000E0;2,235614554E-1;2,451818146E-1;9,208082587E-1;3,636622286E0
3,930000000E0;2,311460564E-1;2,399408453E-1;9,561118722E-1;4,396689710E0
3,940000000E0;2,394788175E-1;2,345847609E-1;1,014876269E0;3,162466740E0
3,950000000E0;2,481248174E-1;2,288182911E-1;1,021703957E0;2,474657088E0
3,960000000E0;2,566045006E-1;2,234374487E-1;1,040323741E0;4,313996600E0
3,970000000E0;2,658822523E-1;2,179747262E-1;1,106335634E0;5,137368900E0
3,980000000E0;2,756358794E-1;2,121503749E-1;1,141169142E0;3,761333967E0
3,990000000E0;2,856237937E-1;2,065214145E-1;1,169262995E0;2,529881532E0
4,000000000E0;2,960933725E-1;2,008207078E-1;1,190755460E0;1,904659062E0
4,010000000E0;3,064915268E-1;1,950454769E-1;1,197456605E0;6,282013603E0
4,020000000E0;3,171815963E-1;1,894695957E-1;1,292641874E0;6,902831662E0
4,030000000E0;3,297039142E-1;1,836632858E-1;1,361314769E0;4,249498320E0
4,040000000E0;3,413778077E-1;1,769870273E-1;1,357853197E0;2,987399844E0
4,050000000E0;3,538004002E-1;1,711386906E-1;1,389512712E0;5,788841999E0
4,060000000E0;3,667325381E-1;1,656100385E-1;1,385130223E0;2,537507795E0
4,070000000E0;3,793424673E-1;1,604131556E-1;1,396600457E0;2,649822241E0
4,080000000E0;3,925737304E-1;1,550067410E-1;1,437377960E0;4,567173622E0
4,090000000E0;4,060814429E-1;1,498561984E-1;1,468044037E0;3,474975030E0
4,100000000E0;4,201204043E-1;1,448459304E-1;1,482121566E0;3,107109528E0
4,110000000E0;4,340678721E-1;1,400871906E-1;1,498921435E0;3,730299190E0
4,120000000E0;4,485590226E-1;1,353616708E-1;1,545083821E0;4,018044040E0
4,130000000E0;4,635432420E-1;1,308073104E-1;1,535361260E0;2,886507319E0
4,140000000E0;4,781230278E-1;1,270608713E-1;1,541931318E0;3,835078823E0
4,150000000E0;4,933252859E-1;1,228041399E-1;1,550593178E0;3,633221549E0
4,160000000E0;5,082772154E-1;1,198178987E-1;1,581666304E0;3,035188367E0
4,170000000E0;5,241846928E-1;1,158496934E-1;1,627487978E0;2,798292961E0
4,180000000E0;5,399481602E-1;1,123053687E-1;1,620171755E0;4,619427082E0
4,190000000E0;5,559256254E-1;1,093308131E-1;1,619396388E0;4,169712690E0
4,200000000E0;5,718455994E-1;1,066901009E-1;1,629473984E0;3,944034996E0
4,210000000E0;5,881325205E-1;1,043518478E-1;1,643559710E0;3,488579464E0
4,220000000E0;6,044491215E-1;1,025037235E-1;1,629974574E0;3,538231954E0
4,230000000E0;6,205406315E-1;1,008246415E-1;1,621944801E0;2,921249446E0
4,240000000E0;6,367602202E-1;9,962711491E-2;1,643601946E0;3,088825781E0
4,250000000E0;6,533310671E-1;9,850984685E-2;1,663085841E0;2,827190112E0
4,260000000E0;6,699602905E-1;9,760297542E-2;1,636951445E0;6,473266687E0
4,270000000E0;6,860471509E-1;9,728433513E-2;1,646257283E0;2,004372186E0
4,280000000E0;7,028810794E-1;9,813858036E-2;1,675294372E0;6,533326421E-1
4,290000000E0;7,195529559E-1;9,721000765E-2;1,652910438E0;3,636306171E0
4,300000000E0;7,359380651E-1;9,785420888E-2;1,622480928E0;6,728683461E0
4,310000000E0;7,519651174E-1;9,876870156E-2;1,612132318E0;3,704124394E0
4,320000000E0;7,681123662E-1;9,995244343E-2;1,628228546E0;4,048051335E0
4,330000000E0;7,843922250E-1;1,017576771E-1;1,615863890E0;3,500859346E0
4,340000000E0;8,002033350E-1;1,037703177E-1;1,589932848E0;3,492061716E0
4,350000000E0;8,159224037E-1;1,058810760E-1;1,575100820E0;3,025665824E0
4,360000000E0;8,313529316E-1;1,084692191E-1;1,584661900E0;3,025596723E0
4,370000000E0;8,471506147E-1;1,112903428E-1;1,574657842E0;5,818956498E0
